DateTime,AddedIPs,RemovedIPs
1533954288,72,156
1533956174,154,114
1533958106,344,60
1533960175,103,109
1533962169,92,190
1533964113,84,85
1533966013,57,97
1533967934,104,101
1533969871,68,87
1533971769,77,69
1533973710,147,212
1533975606,88,3005
1533977528,60,3034
1533979468,58,2942
1533981366,56,283
1533983288,94,105
1533985231,83,139
1533987132,57,82
1533989310,107,99
1533991216,73,130
1533993143,78,5437
1533995057,88,6175
1533996999,72,4406
1533998897,114,172
1534000721,413,84
1534002726,1454,78
1534004649,2302,109
1534006587,168,109
1534008485,106,85
1534010425,71,115
1534012366,117,101
1534014267,135,85
1534016174,159,82
1534018114,128,88
1534020038,79,314
1534021941,58,83
1534023860,109,70
1534025807,73,134
1534027700,112,112
1534030817,128,181
1534032755,81,100
1534034661,75,87
1534036586,58,109
1534038753,94,158
1534040926,82,438
1534042837,136,162
1534044744,144,78
1534046665,65,73
1534048592,230,108
1534050499,112,84
1534052416,86,55
1534054339,75,102
1534056260,108,67
1534058187,60,72
1534060119,91,157
1534062026,159,85
1534063939,61,61
1534065861,76,63
1534067792,77,57
1534069700,86,108
1534071626,103,87
1534073547,79,66
1534075484,78,99
1534077394,88,82
1534079319,213,78
1534081228,129,78
1534083153,100,81
1534085053,89,97
1534086978,137,163
1534089042,131,1678
1534091049,63,2431
1534092986,139,176
1534094886,133,102
1534096834,95,87
1534098734,412,112
1534100653,336,73
1534102586,98,120
1534104492,98,100
1534106471,149,67
1534108343,1102,61
1534110263,113,104
1534112210,87,67
1534114100,55,107
1534116015,99,71
1534117954,60,255
1534119858,65,81
1534121791,76,64
1534123697,75,64
1534125766,66,82
1534127786,888,86
1534129954,1968,165
1534131854,1958,112
1534133785,958,61
1534135708,48,70
1534137635,58,110
1534139555,91,73
1534141452,77,68
1534143393,275,98
1534145288,85,61
1534148201,116,205
1534150128,80,70
1534152052,78,61
1534153940,65,69
1534155869,60,96
1534157791,5444,95
1534159709,1343,69
1534161607,101,63
1534163533,65,74
1534165454,577,90
1534167368,1155,127
1534169817,150,127
1534171702,402,84
1534173624,77,132
1534175544,393,97
1534177466,980,61
1534179394,996,102
1534181299,514,118
1534183248,92,81
1534185164,98,72
1534187073,90,127
1534188998,85,72
1534191081,71,102
1534193067,59,126
1534194970,345,1092
1534197146,132,98
1534199053,76,57
1534200997,73,79
1534203777,164,90
1534205661,69,58
1534207478,56,54
1534209380,106,71
1534211313,137,64
1534213224,123,101
1534215164,99,1457
1534217065,58,1633
1534218991,103,1688
1534220888,86,267
1534222840,129,84
1534224761,200,69
1534226663,87,74
1534228571,114,110
1534230517,110,71
1534232422,71,111
1534234354,85,76
1534236253,100,69
1534238195,90,82
1534240092,127,62
1534242031,87,58
1534243935,104,4066
1534245872,86,1833
1534247773,83,81
1534249940,117,102
1534251858,67,575
1534253797,82,1040
1534255694,167,95
1534257995,106,323
1534259807,64,81
1534261693,105,345
1534263630,88,1347
1534265537,86,1459
1534267455,92,801
1534269387,62,74
1534271288,99,84
1534273233,66,89
1534275155,68,91
1534277230,77,74
1534279206,73,62
1534281131,84,751
1534283069,413,298
1534284974,1238,92
1534286925,1284,79
1534288816,1309,86
1534290725,95,144
1534292761,148,81
1534294593,104,81
1534296490,68,103
1534299490,679,214
1534301316,262,89
1534303369,69,69
1534305377,72,104
1534307230,107,87
1534309214,281,74
1534311128,78,122
1534313054,87,97
1534314955,102,116
1534316905,293,76
1534318751,62,68
1534320729,2126,85
1534322551,675,127
1534324379,58,92
1534326434,101,127
1534328405,99,101
1534330226,74,110
1534332034,82,79
1534333984,77,99
1534335863,69,115
1534337937,80,88
1534339936,85,102
1534341853,82,149
1534343774,257,99
1534345615,264,64
1534347611,1343,56
1534349707,212,134
1534351707,91,91
1534353877,84,104
1534355776,82,59
1534357607,88,83
1534359623,92,88
1534361554,175,67
1534363460,106,77
1534365290,74,80
1534367311,498,94
1534369172,83,87
1534371149,129,97
1534372974,83,69
1534375217,80,74
1534377262,99,60
1534379301,99,137
1534381373,78,83
1534383394,87,96
1534385298,90,529
1534387214,143,250
1534389151,557,59
1534391080,47,54
1534392984,64,95
1534394901,103,202
1534396847,57,318
1534398758,83,71
1534400662,104,68
1534402595,63,290
1534404498,82,59
1534406446,81,67
1534408347,99,2681
1534410284,93,64
1534412179,77,115
1534414101,107,119
1534416025,113,97
1534417949,107,72
1534419883,81,81
1534421782,66,62
1534423662,78,74
1534425464,2700,64
1534427553,2875,111
1534429452,94,207
1534431389,178,112
1534433287,72,101
1534435222,2661,245
1534437150,1692,118
1534439302,98,170
1534441232,104,188
1534443142,172,210
1534444953,1818,138
1534446990,4459,83
1534448894,4108,75
1534450815,2292,166
1534452754,77,419
1534454668,59,369
1534456595,305,385
1534458488,491,413
1534460460,383,375
1534463575,95,129
1534465707,51,99
1534467662,73,70
1534469543,67,69
1534471480,80,106
1534473402,145,178
1534475326,134,795
1534477484,60,255
1534479381,903,86
1534481566,2112,135
1534483458,1557,77
1534485377,747,99
1534487299,139,91
1534489242,95,77
1534491160,108,77
1534493074,54,114
1534494981,82,62
1534496915,60,111
1534498827,2636,66
1534500764,701,91
1534502661,91,89
1534504605,122,103
1534506497,86,66
1534508423,75,67
1534510358,526,62
1534512278,89,71
1534514218,75,89
1534516115,90,77
1534518057,119,2208
1534520184,156,4850
1534522306,95,3144
1534524248,91,798
1534526198,244,89
1534528089,127,117
1534530259,91,140
1534532306,493,3768
1534534110,103,3804
1534536018,123,3971
1534537939,97,882
1534540058,83,67
1534542034,75,938
1534543939,86,1274
1534545850,103,1276
1534547772,86,449
1534549601,844,64
1534551620,81,59
1534553556,92,61
1534555456,92,70
1534557370,79,78
1534559554,218,153
1534561497,77,142
1534563374,167,59
1534565417,77,651
1534567223,54,1899
1534569322,106,2086
1534571298,111,1349
1534573489,598,130
1534575380,91,83
1534577325,69,103
1534579231,107,67
1534581164,177,71
1534583095,197,67
1534584998,186,142
1534586926,185,83
1534588850,86,91
1534590767,104,139
1534592690,182,70
1534594587,90,69
1534596508,109,557
1534598441,82,98
1534600360,90,91
1534602262,59,77
1534604205,87,86
1534606098,129,163
1534609016,210,145
1534610897,91,83
1534612816,104,333
1534614761,130,108
1534616815,745,72
1534619120,139,641
1534620994,83,91
1534623259,107,102
1534625317,86,115
1534627208,109,154
1534629131,147,73
1534630970,768,75
1534632971,80,139
1534634847,96,1699
1534636821,89,2600
1534638660,71,85
1534640923,95,106
1534642924,112,63
1534644756,89,220
1534646664,112,78
1534648583,87,103
1534650522,173,142
1534652424,136,67
1534654355,120,63
1534656274,250,104
1534658192,124,80
1534660136,336,65
1534662058,561,99
1534663939,102,60
1534665884,289,95
1534667785,1607,62
1534669720,95,104
1534671622,92,61
1534673563,75,72
1534675456,74,65
1534677406,81,102
1534679294,136,123
1534681236,128,81
1534683142,228,79
1534685081,86,58
1534686973,141,79
1534688913,82,52
1534690842,88,88
1534692755,2254,137
1534694958,809,135
1534696811,102,58
1534698761,89,112
1534700656,84,232
1534702580,142,571
1534704758,119,239
1534706809,172,107
1534708813,144,89
1534710735,101,104
1534712660,92,77
1534714567,116,104
1534716506,91,423
1534718413,124,361
1534720332,392,93
1534723150,252,128
1534725171,1963,104
1534727052,1769,65
1534729026,1658,100
1534730972,102,85
1534732845,206,104
1534734836,68,87
1534736700,92,134
1534738629,179,154
1534740518,134,119
1534742508,87,71
1534744380,220,113
1534746305,125,94
1534748239,127,666
1534750164,88,102
1534752073,106,75
1534754007,68,388
1534755881,106,83
1534757950,84,95
1534759787,80,85
1534761684,67,69
1534763577,213,77
1534765544,102,120
1534767410,95,103
1534769351,113,106
1534771249,85,82
1534773850,129,122
1534775766,110,87
1534777969,96,96
1534779864,136,1627
1534782067,137,189
1534783953,470,102
1534785871,1622,89
1534787787,63,127
1534789701,115,92
1534791662,964,118
1534793555,132,156
1534795464,143,114
1534797380,115,107
1534799307,118,88
1534801212,107,133
1534803132,82,141
1534805056,92,251
1534806993,329,188
1534808893,997,109
1534811869,1576,2396
1534813709,373,1709
1534815612,92,1449
1534817555,80,101
1534819451,106,2648
1534821614,82,63
1534823574,85,126
1534825467,91,187
1534827371,182,105
1534829314,107,68
1534831243,85,443
1534833133,403,138
1534835057,163,107
1534836989,114,87
1534838923,121,116
1534840819,992,80
1534842757,1847,101
1534844653,1444,73
1534846603,305,79
1534848488,98,66
1534850426,102,79
1534852590,180,128
1534854491,309,85
1534856414,180,96
1534858354,1600,200
1534860262,1476,99
1534862178,869,101
1534864115,82,82
1534866012,77,129
1534867981,309,98
1534869875,146,347
1534871810,212,2885
1534873923,163,80
1534875856,66,110
