DateTime,Entries,UniqueIPs
1533954289,22263,22263
1533956175,22272,22272
1533958107,22352,22352
1533960176,22356,22356
1533962170,22268,22268
1533964116,22261,22261
1533966014,22253,22253
1533967935,22248,22248
1533969872,22240,22240
1533971770,22229,22229
1533973711,22185,22185
1533975607,20026,20026
1533977529,17763,17763
1533979469,15437,15437
1533981366,15298,15298
1533983289,15290,15290
1533985231,15276,15276
1533987133,15268,15268
1533989314,15286,15286
1533991217,15227,15227
1533993143,11087,11087
1533995057,6502,6502
1533996999,3066,3066
1533998897,3056,3056
1534000721,3294,3294
1534002728,4606,4606
1534004649,6672,6672
1534006588,6667,6667
1534008486,6669,6669
1534010426,6649,6649
1534012366,6642,6642
1534014268,6673,6673
1534016174,6701,6701
1534018114,6720,6720
1534020039,6704,6704
1534021942,6697,6697
1534023860,6714,6714
1534025807,6699,6699
1534027701,6691,6691
1534030818,6630,6630
1534032756,6611,6611
1534034662,6576,6576
1534036587,6538,6538
1534038753,6506,6506
1534040926,6341,6341
1534042858,6331,6331
1534044744,6350,6350
1534046665,6347,6347
1534048593,6480,6480
1534050500,6476,6476
1534052416,6495,6495
1534054339,6508,6508
1534056261,6525,6525
1534058188,6529,6529
1534060119,6451,6451
1534062026,6507,6507
1534063940,6510,6510
1534065861,6523,6523
1534067792,6535,6535
1534069700,6522,6522
1534071627,6525,6525
1534073548,6532,6532
1534075484,6512,6512
1534077394,6512,6512
1534079320,6634,6634
1534081228,6669,6669
1534083154,6686,6686
1534085053,6674,6674
1534086979,6673,6673
1534089043,5195,5195
1534091049,2999,2999
1534092986,2996,2996
1534094886,2989,2989
1534096840,2989,2989
1534098734,3117,3117
1534100653,3249,3249
1534102586,3257,3257
1534104495,3263,3263
1534106472,3333,3333
1534108343,3347,3347
1534110264,3371,3371
1534112210,3385,3385
1534114101,3365,3365
1534116016,3379,3379
1534117955,3263,3263
1534119859,3263,3263
1534121792,3277,3277
1534123697,3287,3287
1534125767,3305,3305
1534127787,3953,3953
1534129954,5268,5268
1534131854,6594,6594
1534133786,7303,7303
1534135709,7296,7296
1534137636,7290,7290
1534139556,7294,7294
1534141453,7294,7294
1534143394,7447,7447
1534145288,7453,7453
1534148201,7379,7379
1534150129,7375,7375
1534152052,7379,7379
1534153941,7375,7375
1534155870,7367,7367
1534157792,11553,11553
1534159710,12624,12624
1534161609,12641,12641
1534163533,12645,12645
1534165455,13020,13020
1534167369,13824,13824
1534169818,13816,13816
1534171703,13874,13874
1534173625,13862,13862
1534175545,14025,14025
1534177466,14516,14516
1534179395,15072,15072
1534181300,15359,15359
1534183257,15358,15358
1534185165,15368,15368
1534187074,15331,15331
1534188999,15321,15321
1534191081,15300,15300
1534193068,15239,15239
1534194970,15434,15434
1534197146,15445,15445
1534199054,15446,15446
1534200999,15439,15439
1534203778,15469,15469
1534205662,15472,15472
1534207479,15469,15469
1534209381,15474,15474
1534211314,15487,15487
1534213225,15480,15480
1534215164,14433,14433
1534217066,13541,13541
1534218992,12329,12329
1534220889,12174,12174
1534223812,12262,12262
1534225844,12283,12283
1534227659,12311,12311
1534229705,12321,12321
1534231686,12314,12314
1534233501,12289,12289
1534235302,12302,12302
1534237384,12311,12311
1534239369,12320,12320
1534241310,12338,12338
1534243208,10712,10712
1534245093,7893,7893
1534247049,7899,7899
1534249014,7881,7881
1534250908,7886,7886
1534252942,6789,6789
1534254759,6794,6794
1534256765,6812,6812
1534258838,6760,6760
1534260918,6752,6752
1534262936,6147,6147
1534265077,5111,5111
1534266981,4336,4336
1534268902,4327,4327
1534270825,4323,4323
1534272789,4320,4320
1534274662,4305,4305
1534276594,4301,4301
1534278493,4302,4302
1534280432,4257,4257
1534282356,3496,3496
1534284269,4240,4240
1534286192,5120,5120
1534288109,6423,6423
1534290019,6476,6476
1534291954,6482,6482
1534293860,6484,6484
1534295685,6472,6472
1534297695,6919,6919
1534299878,6936,6936
1534301777,6962,6962
1534303693,6957,6957
1534305636,6952,6952
1534307539,6945,6945
1534309483,7145,7145
1534311385,7119,7119
1534313322,7096,7096
1534315219,7098,7098
1534317146,7131,7131
1534319076,7131,7131
1534320981,8087,8087
1534322902,8157,8157
1534324822,8139,8139
1534326763,8122,8122
1534328657,8112,8112
1534330591,8107,8107
1534332506,8107,8107
1534334462,8089,8089
1534336357,8074,8074
1534338270,8062,8062
1534340193,8056,8056
1534342109,8029,8029
1534344019,8109,8109
1534345987,8421,8421
1534347849,9083,9083
1534349708,9181,9181
1534351708,9181,9181
1534353878,9175,9175
1534355776,9183,9183
1534357607,9186,9186
1534359624,9188,9188
1534361555,9263,9263
1534363461,9278,9278
1534365290,9278,9278
1534367312,9370,9370
1534369173,9378,9378
1534371150,9399,9399
1534372974,9397,9397
1534375218,9398,9398
1534377262,9397,9397
1534379301,9399,9399
1534381374,9401,9401
1534383395,9385,9385
1534385299,8989,8989
1534387215,8963,8963
1534389152,9090,9090
1534391081,9094,9094
1534392984,9090,9090
1534394902,8989,8989
1534396848,8758,8758
1534398758,8765,8765
1534400663,8764,8764
1534402596,8588,8588
1534404499,8593,8593
1534406454,8595,8595
1534408347,7614,7614
1534410285,7612,7612
1534412179,7567,7567
1534414102,7578,7578
1534416026,7575,7575
1534417950,7587,7587
1534419883,7590,7590
1534421783,7590,7590
1534423663,7584,7584
1534425465,9605,9605
1534427554,11675,11675
1534429453,11613,11613
1534431390,11623,11623
1534433287,11594,11594
1534435223,13646,13646
1534437151,14999,14999
1534439303,14983,14983
1534441232,14981,14981
1534443143,14981,14981
1534444954,15616,15616
1534446991,16599,16599
1534448895,17921,17921
1534450815,18355,18355
1534452755,18295,18295
1534454669,18152,18152
1534456596,18097,18097
1534458495,18145,18145
1534460470,18150,18150
1534463576,18146,18146
1534465708,18137,18137
1534467672,18128,18128
1534469544,18131,18131
1534471481,18127,18127
1534473403,18155,18155
1534475327,17988,17988
1534477485,17913,17913
1534479382,18475,18475
1534481566,19720,19720
1534483459,20782,20782
1534485378,21273,21273
1534487300,21284,21284
1534489255,21292,21292
1534491161,21280,21280
1534493075,21245,21245
1534494982,21261,21261
1534496916,21255,21255
1534498828,23149,23149
1534500765,23687,23687
1534502662,23684,23684
1534504606,23693,23693
1534506498,23700,23700
1534508424,23709,23709
1534510359,24096,24096
1534512279,24093,24093
1534514220,24102,24102
1534516116,24097,24097
1534518071,22488,22488
1534520184,19148,19148
1534522306,16530,16530
1534524249,15983,15983
1534526199,16100,16100
1534528090,16109,16109
1534530265,16103,16103
1534532307,15483,15483
1534534111,14511,14511
1534536021,13405,13405
1534537940,13190,13190
1534540059,13197,13197
1534542035,12563,12563
1534543940,11697,11697
1534545851,10772,10772
1534547773,10469,10469
1534549602,11200,11200
1534551621,11208,11208
1534553557,11225,11225
1534555457,11240,11240
1534557371,11247,11247
1534559554,11285,11285
1534561498,11281,11281
1534563375,11305,11305
1534565418,10927,10927
1534567224,9638,9638
1534569328,8280,8280
1534571298,7300,7300
1534573489,7456,7456
1534575381,7451,7451
1534577326,7453,7453
1534579233,7470,7470
1534581165,7500,7500
1534583102,7527,7527
1534584998,7486,7486
1534586927,7520,7520
1534588850,7518,7518
1534590768,7505,7505
1534592690,7525,7525
1534594587,7532,7532
1534596509,7144,7144
1534598442,7150,7150
1534600360,7141,7141
1534602262,7140,7140
1534604205,7150,7150
1534606098,7147,7147
1534609016,7164,7164
1534610897,7169,7169
1534612816,6997,6997
1534614762,6982,6982
1534616815,7121,7121
1534619121,6632,6632
1534620994,6624,6624
1534623259,6636,6636
1534625317,6631,6631
1534627208,6542,6542
1534629131,6594,6594
1534630972,6953,6953
1534632972,6933,6933
1534634848,5781,5781
1534636827,3590,3590
1534638660,3579,3579
1534640923,3559,3559
1534642925,3573,3573
1534644756,3489,3489
1534646664,3513,3513
1534648584,3502,3502
1534650522,3512,3512
