DateTime,AddedIPs,RemovedIPs
1533754109,0,1
1533756260,2,1
1533758201,2,2
1533760096,0,1
1533763965,1,2
1533765914,1,2
1533767796,1,1
1533769802,0,2
1533771644,0,1
1533773550,0,1
1533775457,4,0
1533777400,2,1
1533781241,0,1
1533783143,0,1
1533785078,0,1
1533788921,0,3
1533790886,1,1
1533796610,1,0
1533800433,2,3
1533802356,0,4
1533804258,1,0
1533806193,2,1
1533810032,1,0
1533811952,0,1
1533813872,0,1
1533815776,0,1
1533817707,1,0
1533819892,3,1
1533821790,2,2
1533823730,1,1
1533825619,3,1
1533827546,1,0
1533829476,3,0
1533833298,2,0
1533836061,3,1
1533837880,0,2
1533839774,3,4
1533841718,0,3
1533843614,1,0
1533845563,0,1
1533847460,2,0
1533849396,0,2
1533851298,1,2
1533853233,1,0
1533855164,2,2
1533857054,1,0
1533861734,2,3
1533863557,0,1
1533865558,1,0
1533867383,1,0
1533869431,2,0
1533871238,3,1
1533873223,0,1
1533875062,1,2
1533877129,1,1
1533879137,1,0
1533886812,0,2
1533888616,0,4
1533890437,0,2
1533892442,0,1
1533894276,4,0
1533896245,1,0
1533898096,1,1
1533900110,0,1
1533903985,1,0
1533905927,1,1
1533907825,1,3
1533911691,0,1
1533913594,0,1
1533915523,0,4
1533917491,2,1
1533919352,1,1
1533921308,1,1
1533923186,1,4
1533924997,0,3
1533930917,3,1
1533933165,1,0
1533935074,1,0
1533936977,2,0
1533938924,3,0
1533940820,0,3
1533944670,2,2
1533946583,1,0
1533948505,1,2
1533950452,1,0
1533952357,1,0
1533954292,1,0
1533956178,0,10
1533958110,1,3
1533960179,2,0
1533962172,1,2
1533964124,1,0
1533966016,2,1
1533969874,1,0
1533977531,1,0
1533979471,1,1
1533981369,1,0
1533983291,0,2
1533985234,0,6
1533989368,1,1
1533991219,4,2
1533993146,0,2
1533995059,1,0
1533997001,1,0
1533998900,2,1
1534000723,1,0
1534002731,0,1
1534006590,0,2
1534008488,2,1
1534010436,1,0
1534014270,2,0
1534016176,1,2
1534018117,2,2
1534020046,0,1
1534021944,0,1
1534023862,1,2
1534025809,1,2
1534027703,3,0
1534030820,2,2
1534032758,1,1
1534036589,1,1
1534038756,0,1
1534040929,3,2
1534042892,2,1
1534050515,0,1
1534052419,1,2
1534054341,2,1
1534056263,1,0
1534058190,3,1
1534060123,0,1
1534063942,5,2
1534065863,0,2
1534067799,2,1
1534071637,1,0
1534075486,1,1
1534077397,1,1
1534079325,0,1
1534083156,3,1
1534085055,0,1
1534086982,0,3
1534089045,2,0
1534091051,1,0
1534092988,1,0
1534094888,0,1
1534096873,1,1
1534098736,0,1
1534100655,1,2
1534102588,1,1
1534104499,2,5
1534106474,0,1
1534108345,1,2
1534110270,0,1
1534112212,1,1
1534114103,2,2
1534116018,1,0
1534117957,2,0
1534119860,0,1
1534123699,1,0
1534125769,2,1
1534127789,0,2
1534129956,1,2
1534131857,1,0
1534133788,1,0
1534141455,0,1
1534143396,0,1
1534151079,0,1
1534152977,0,1
1534154911,0,4
1534156816,0,1
1534158740,2,0
1534161611,1,1
1534163536,2,1
1534165457,1,0
1534167371,3,0
1534169820,1,2
1534171705,2,0
1534173627,2,1
1534175548,0,2
1534177469,1,2
1534179398,1,0
1534183285,1,1
1534185168,3,1
1534187077,1,0
1534189002,2,0
1534191089,2,2
1534193070,0,1
1534194973,3,0
1534197149,3,0
1534199056,4,0
1534201002,2,1
1534203780,2,3
1534205664,1,0
1534207482,3,1
1534209384,1,1
1534211317,1,0
