DateTime,AddedIPs,RemovedIPs
1533958110,6,2
1533960179,5,8
1533962172,7,163
1533964124,6,6
1533966016,2,1
1533967937,10,4
1533969874,7,7
1533971773,4,1
1533973713,82,5
1533975610,37,2
1533977532,1,2
1533979472,3,4
1533981369,1,7
1533983292,6,6
1533985235,8,5
1533987136,5,2
1533989368,83,2
1533991219,7,3
1533993146,3,3
1533995060,3,6
1533997002,6,3
1533998900,3,4
1534000724,321,5
1534002731,2,2
1534004652,1,2
1534006591,7,2
1534008488,2,2
1534010440,3,2
1534012369,2,3
1534014270,2,3
1534016177,2,7
1534018117,3,3
1534020047,4,6
1534021944,4,8
1534023863,27,8
1534025810,3,8
1534027703,11,26
1534030821,2,4
1534032758,1,4
1534034664,3,4
1534036589,3,5
1534038756,1,7
1534040929,4,2
1534042893,3,5
1534044748,5,4
1534046669,4,4
1534048596,195,7
1534050516,3,6
1534052419,9,2
1534054342,1,11
1534056264,19,6
1534058190,15,4
1534060123,3,93
1534062030,102,24
1534063942,5,0
1534065864,5,3
1534067799,1,3
1534069703,1,5
1534071642,5,7
1534073551,28,4
1534075487,5,63
1534077397,1,7
1534079326,129,4
1534081231,31,1
1534083156,1,6
1534085055,0,1
1534086982,6,5
1534089045,4,312
1534091052,7,2
1534092989,5,7
1534094888,4,2
1534096874,5,2
1534098737,2,3
1534100656,36,1
1534102588,7,2
1534104500,4,3
1534106474,51,4
1534108346,1025,4
1534110270,34,17
1534112212,34,3
1534114103,3,12
1534116019,5,1
1534117958,4,2
1534119861,5,1
1534121794,4,2
1534123700,3,2
1534125769,6,1
1534127789,88,4
1534129957,2,3
1534131857,3,3
1534133789,4,6
1534135711,27,37
1534137638,4,3
1534139558,3,6
1534141455,2,1
1534143396,220,15
1534145291,3,16
1534147279,2,2
1534149157,3,93
1534151079,1,3
1534152978,1,3
1534154911,2,1
1534156816,3,5
1534158741,5,3
1534161611,31,29
1534163536,16,0
1534165458,894,8
1534167371,1688,40
1534169821,3,0
1534171705,3,0
1534173628,2,6
1534175548,451,3
1534177469,1320,6
1534179398,1338,3
1534181302,647,4
1534183286,2,4
1534185168,7,0
1534187077,5,33
1534189002,4,3
1534191090,7,4
1534193071,5,37
1534194973,303,1027
1534197150,40,35
1534199057,5,4
1534201003,4,5
1534203781,45,7
1534205665,9,1
1534207482,7,3
1534209384,5,4
1534211317,5,4
1534213228,3,58
1534215167,2,1
1534217069,3,2
1534218995,4,3
1534220892,4,105
1534222887,50,40
1534224768,85,1
1534226664,1,4
1534228572,4,42
1534230540,37,1
1534232424,6,35
1534234356,1,3
1534236255,3,1
1534238197,5,1
1534240094,6,2
1534242033,11,0
1534243936,4,3
1534245874,4,4
1534247774,1,2
1534249942,1,46
1534251859,2,605
1534253804,3,1095
1534255697,21,2
1534257996,2,4
1534259809,3,2
1534261694,1,245
1534263638,4,1253
1534265539,5,1287
1534267456,2,845
1534269389,2,1
1534271289,2,7
1534273248,6,7
1534275157,3,6
1534277232,4,9
1534279208,1,8
1534281133,3,783
1534283070,369,228
1534284975,1373,30
1534286927,1446,5
1534288817,1437,3
1534290727,6,81
1534292762,10,8
1534294594,3,7
1534296491,2,4
1534298469,540,3
1534300340,7,6
1534302268,2,3
1534304178,5,3
1534306129,3,2
1534308033,2,5
1534309941,230,3
1534311875,1,1
1534313793,4,1
1534315693,4,4
1534317628,8,3
1534319547,4,1
1534321454,5,2
1534323389,1,2
1534325290,2,9
1534327271,5,3
1534329160,2,5
1534331056,2,1
1534332971,22,6
1534334929,5,0
1534336814,3,2
1534338760,4,0
1534340653,5,3
1534342572,101,11
1534344514,4,1
1534346417,2,2
1534348571,121,2
1534350487,3,8
1534352455,2,2
1534354336,1,2
1534356258,2,1
1534358431,1,3
1534360344,0,5
1534362266,112,3
1534364183,8,1
1534366092,3,1
1534368616,5,1
1534370679,32,8
1534372570,4,2
1534374766,4,2
1534376831,3,5
1534378933,4,8
1534380755,4,5
1534382676,5,3
1534384509,5,476
1534386738,19,4
1534388679,1,1
1534390573,1,4
1534392522,10,3
1534394413,28,139
1534396358,0,255
1534398252,2,1
1534400205,5,5
1534402101,4,212
1534404015,2,8
1534405952,6,3
1534407873,43,5
1534409774,1,1
1534411717,2,55
1534413668,7,13
1534415556,5,2
1534417463,4,2
1534419396,1,21
1534421323,1,4
1534423215,5,2
1534425147,2,4
1534427065,3,4
1534428999,1,105
1534430902,1,3
1534432824,2,2
1534434770,5,142
1534436652,2,22
1534438512,4,1
1534440489,1,0
1534442434,2,1
1534444336,4,1
1534446154,1,1
1534447957,2,0
1534450011,3,116
1534452008,2,30
1534453850,2,240
1534455849,246,605
1534457781,722,706
1534459707,745,283
1534461544,184,289
1534463579,2,4
1534465712,6,3
1534467696,5,3
1534469549,6,4
1534471484,5,30
1534473406,2,1
1534475330,8,1
1534477488,3,2
1534479386,2,13
1534481570,4,35
1534483462,1,0
1534485381,6,2
1534487309,4,3
1534489283,3,5
1534491167,6,3
1534493092,2,51
1534494986,54,2
1534496919,4,1
1534498831,1,2
1534500768,50,7
1534502666,6,3
1534504609,82,0
1534506502,4,0
1534508427,0,6
1534510362,554,5
1534512282,4,2
1534514223,4,3
1534516119,1,0
1534518097,14,2
1534520188,6,3
1534522310,4,2
1534524252,4,6
1534526202,148,2
