DateTime,AddedIPs,RemovedIPs
1533892444,8,6
1533894279,3,9
1533896247,2,5
1533898097,0,7
1533900112,1,5
1533901946,2,6
1533903988,2,2
1533905928,1,2
1533907827,2,2
1533909773,0,5
1533911703,0,8
1533913596,0,5
1533915525,1,6
1533917493,0,4
1533919359,1,6
1533921311,1,5
1533923189,0,4
1533924999,1,3
1533927034,0,4
1533928837,1,5
1533930919,2,2
1533933167,2,9
1533935076,2,7
1533936979,5,3
1533938927,1,2
1533940821,1,3
1533942778,1,2
1533944672,2,7
1533946584,4,1
1533948507,0,34
1533950454,2,35
1533952359,0,7
1533954293,0,9
1533956180,2,3
1533958112,1,1
1533960180,0,3
1533962174,1,6
1533964126,0,4
1533966018,1,5
1533967939,0,1
1533969876,3,5
1533971774,2,1
1533973715,0,2
1533975617,2,3
1533977533,3,4
1533979473,4,10
1533981370,2,1
1533983293,2,1
1533987137,1,2
1533989370,0,2
1533991221,2,2
1533993147,0,1
1533995061,2,1
1533997003,1,0
1533998908,1,0
1534000730,2,0
1534002732,0,1
1534006592,0,2
1534008489,2,0
1534010468,1,0
1534012370,1,1
1534014272,2,0
1534016178,0,2
1534018118,2,2
1534020048,2,1
1534021945,1,6
1534023864,6,1
1534025811,1,1
1534027704,1,1
1534030823,0,3
1534032760,1,2
1534034665,3,2
1534036591,1,2
1534040931,1,1
1534042895,4,1
1534044750,1,1
1534046670,1,0
1534048600,2,1
1534050527,1,0
1534052421,1,1
1534056265,1,3
1534058191,1,2
1534062037,1,2
1534063949,2,3
1534065865,0,4
1534067800,3,2
1534069704,2,2
1534073551,0,1
1534075488,2,0
1534077398,0,2
1534081232,0,2
1534083157,1,0
1534085056,1,2
1534086983,2,1
1534089047,2,1
1534091053,1,0
1534094889,0,2
1534096875,1,1
1534098738,0,1
1534100657,2,2
1534104501,0,2
1534106476,2,2
1534108347,1,1
1534110271,2,6
1534112213,0,1
1534114104,3,1
1534116020,3,0
1534117959,2,0
1534119862,0,1
1534121795,0,3
1534123701,2,1
1534125770,6,0
1534127790,0,1
1534129957,0,4
1534131859,3,1
1534133790,0,1
1534135712,6,3
1534137639,1,0
1534139559,1,1
1534141456,3,1
1534143397,0,1
1534147282,2,1
1534151081,0,2
1534152979,1,0
1534154912,1,4
1534156817,0,1
1534161613,3,2
1534163539,2,0
1534165459,1,0
1534167373,2,0
1534169822,2,1
1534171707,2,1
1534173629,0,2
1534175550,0,2
1534177470,0,1
1534183288,2,1
1534185170,1,0
1534187079,2,2
1534189004,2,0
1534191091,2,0
1534193072,3,2
1534194975,1,1
1534197151,1,2
1534199058,0,2
1534201004,0,2
1534203783,1,3
1534205667,0,1
1534207484,1,0
1534209386,2,1
1534211319,1,4
1534213230,0,3
1534215169,1,0
1534217070,1,1
1534218997,1,2
1534220894,0,3
1534222893,0,3
1534224770,2,2
1534226666,0,1
1534228574,1,2
1534232425,1,0
1534234358,0,2
1534236256,3,0
1534240096,1,2
1534242036,2,0
1534243938,1,0
1534247776,1,2
1534249944,0,3
1534251861,0,1
1534253805,0,2
1534255701,1,1
1534257998,0,3
1534259811,1,0
1534261696,2,0
1534267457,3,0
1534269390,0,1
1534271290,1,2
1534273287,0,2
1534275158,1,1
1534277234,0,3
1534279211,3,3
1534281135,1,0
1534283072,2,2
1534286928,1,0
1534288820,1,1
