DateTime,Entries,UniqueIPs
1533958115,1112,1112
1533960183,1106,1106
1533962177,1106,1106
1533964130,1091,1091
1533966021,1084,1084
1533967942,1085,1085
1533969879,1084,1084
1533971777,1083,1083
1533973718,1092,1092
1533975628,1081,1081
1533977536,1046,1046
1533979476,1012,1012
1533981373,995,995
1533983299,989,989
1533985244,966,966
1533987140,958,958
1533989373,948,948
1533991224,944,944
1533993156,938,938
1533995063,940,940
1533997005,935,935
1533998910,938,938
1534000732,938,938
1534002735,942,942
1534004655,949,949
1534006594,965,965
1534008492,964,964
1534010484,958,958
1534012372,960,960
1534014275,966,966
1534016180,972,972
1534018121,969,969
1534020050,943,943
1534021948,934,934
1534023867,950,950
1534025813,946,946
1534027707,945,945
1534030827,941,941
1534032767,944,944
1534034668,955,955
1534036593,943,943
1534038760,956,956
1534040933,949,949
1534042898,960,960
1534044753,969,969
1534046672,971,971
1534048603,975,975
1534050530,983,983
1534052423,975,975
1534054346,971,971
1534056267,975,975
1534058194,978,978
1534060127,979,979
1534062041,980,980
1534063951,981,981
1534065867,983,983
1534067803,994,994
1534069707,994,994
1534071698,1002,1002
1534073554,1000,1000
1534075490,1006,1006
1534077400,1006,1006
1534079330,1006,1006
1534081235,1024,1024
1534083160,1046,1046
1534085059,1056,1056
1534086986,1065,1065
1534089057,1061,1061
1534091055,1045,1045
1534092992,1049,1049
1534094892,1050,1050
1534096880,1058,1058
1534098747,1056,1056
1534100660,1053,1053
1534102592,1047,1047
1534104510,1051,1051
1534106486,1057,1057
1534108349,1076,1076
1534110274,1061,1061
1534112216,1071,1071
1534114107,1073,1073
1534116030,1082,1082
1534117961,1082,1082
1534119864,1075,1075
1534121797,1083,1083
1534123704,1086,1086
1534125773,1073,1073
1534127793,1089,1089
1534129960,1090,1090
1534131862,1108,1108
1534133800,1105,1105
1534135715,1098,1098
1534137649,1102,1102
1534139567,1119,1119
1534141460,1129,1129
1534143401,1138,1138
1534145300,1162,1162
1534147285,1173,1173
1534149160,1183,1183
1534151083,1192,1192
1534152982,1196,1196
1534154917,1200,1200
1534156821,1179,1179
1534158745,1190,1190
1534161616,1208,1208
1534163542,1205,1205
1534165462,1206,1206
1534167375,1190,1190
1534169826,1171,1171
1534171710,1183,1183
1534173632,1183,1183
1534175553,1199,1199
1534177473,1219,1219
1534179402,1213,1213
1534181307,1210,1210
1534183291,1212,1212
1534185173,1213,1213
1534187082,1224,1224
1534189007,1230,1230
1534191094,1233,1233
1534193075,1228,1228
1534194977,1226,1226
1534197155,1226,1226
1534199062,1225,1225
1534201007,1229,1229
1534203786,1238,1238
1534205670,1247,1247
1534207487,1248,1248
1534209389,1257,1257
1534211322,1257,1257
1534213233,1259,1259
1534215172,1252,1252
1534217073,1245,1245
1534218999,1230,1230
1534220902,1247,1247
1534222898,1255,1255
1534224773,1265,1265
1534226669,1252,1252
1534228578,1250,1250
1534230549,1256,1256
1534232428,1229,1229
1534234360,1232,1232
1534236259,1241,1241
1534238201,1254,1254
1534240098,1257,1257
1534242039,1262,1262
1534243941,1290,1290
1534245878,1286,1286
1534247780,1281,1281
1534249947,1293,1293
1534251863,1298,1298
1534253809,1298,1298
1534255725,1303,1303
1534258006,1299,1299
1534259814,1298,1298
1534261698,1299,1299
1534263642,1286,1286
1534265543,1279,1279
1534267460,1280,1280
1534269392,1280,1280
1534271292,1288,1288
1534273291,1284,1284
1534275160,1281,1281
1534277237,1284,1284
1534279213,1289,1289
1534281137,1305,1305
1534283074,1314,1314
1534284979,1321,1321
1534286931,1323,1323
1534288830,1318,1318
1534290731,1329,1329
1534292766,1316,1316
1534294601,1313,1313
1534296495,1309,1309
1534298515,1310,1310
1534300344,1301,1301
1534302272,1294,1294
1534304182,1294,1294
1534306133,1289,1289
1534308036,1289,1289
1534309950,1287,1287
1534311879,1277,1277
1534313797,1271,1271
1534315697,1278,1278
1534317631,1280,1280
1534319550,1275,1275
1534321464,3528,3528
1534323393,3490,3490
1534325294,3481,3481
1534327289,3491,3491
1534329167,3496,3496
1534331060,3476,3476
1534332978,3477,3477
1534334934,3474,3474
1534336818,3465,3465
1534338764,3460,3460
1534340657,3471,3471
1534342576,3462,3462
1534344519,3465,3465
1534346430,3473,3473
1534348575,3466,3466
1534350491,3467,3467
1534352481,3474,3474
1534354340,3481,3481
1534356262,3483,3483
1534358435,3479,3479
1534360349,3483,3483
1534362270,3476,3476
1534364187,3481,3481
1534366097,3482,3482
1534368621,3466,3466
1534370684,3471,3471
1534372574,3472,3472
1534374770,3473,3473
1534376835,3485,3485
1534378937,3502,3502
1534380760,3495,3495
1534382680,3493,3493
1534384513,3502,3502
1534386742,3498,3498
1534388692,3495,3495
1534390577,3495,3495
1534392526,3490,3490
1534394426,3481,3481
1534396362,3478,3478
1534398256,3477,3477
1534400209,3477,3477
1534402105,3462,3462
1534404020,3454,3454
1534405956,3461,3461
1534407877,1171,1171
1534409778,1166,1166
1534411720,1171,1171
1534413684,1154,1154
1534415560,1148,1148
1534417474,1152,1152
1534419405,1167,1167
1534421328,1160,1160
1534423220,1151,1151
1534425157,1160,1160
1534427069,1154,1154
1534429003,1168,1168
1534430907,1181,1181
1534432828,1172,1172
1534434774,1185,1185
1534436662,1194,1194
1534438516,1196,1196
1534440493,1186,1186
1534442497,1202,1202
1534444339,1196,1196
1534446158,2649,2649
1534447961,3433,3433
1534450016,3423,3423
1534452012,3426,3426
1534453854,3438,3438
1534455853,3435,3435
1534457786,3421,3421
1534459712,3395,3395
1534461555,3402,3402
1534463590,3397,3397
1534465717,3374,3374
1534467702,3382,3382
1534469554,3373,3373
1534471491,3371,3371
1534473412,3388,3388
1534475336,3386,3386
1534477493,3383,3383
1534479391,3388,3388
1534481575,3398,3398
1534483469,3395,3395
1534485394,3387,3387
1534487314,3416,3416
1534489306,3421,3421
1534491173,3421,3421
1534493098,3424,3424
1534494991,3421,3421
1534496924,3417,3417
1534498836,6022,6022
1534500773,6639,6639
1534502677,6644,6644
