DateTime,AddedIPs,RemovedIPs
1533952363,0,1
1533954297,0,1
1533958117,3,3
1533960185,2,3
1533962179,2,2
1533964135,2,2
1533966026,4,6
1533967947,1,4
1533969881,2,3
1533971778,2,1
1533973720,3,1
1533975629,0,1
1533977537,2,2
1533979477,2,1
1533981374,3,2
1533983301,3,3
1533985249,1,23
1533987142,2,3
1533989375,1,2
1533991225,3,1
1533993157,4,7
1533995065,3,2
1533997007,4,7
1533998911,3,3
1534000733,1,1
1534002736,4,1
1534004657,3,3
1534006596,22,5
1534008493,1,3
1534010485,2,2
1534012374,1,0
1534014276,1,1
1534016182,5,2
1534018123,4,1
1534020052,1,5
1534021955,3,2
1534023869,5,3
1534025815,2,4
1534027709,1,2
1534030829,10,6
1534032769,1,1
1534034669,3,2
1534036595,4,2
1534038762,7,2
1534040935,1,0
1534042899,5,0
1534044755,2,4
1534046674,3,0
1534048604,1,1
1534050531,0,2
1534052425,0,3
1534054347,4,2
1534056269,1,2
1534058195,2,3
1534060129,2,3
1534062042,1,0
1534063953,3,2
1534065869,1,1
1534067804,8,3
1534069708,9,1
1534071703,14,0
1534073556,2,2
1534075491,5,0
1534077402,3,6
1534079332,6,3
1534081236,8,3
1534083161,5,3
1534085060,3,3
1534086987,5,1
1534089058,2,5
1534091056,1,3
1534092993,10,22
1534094893,1,2
1534096881,0,3
1534098748,2,0
1534100662,2,1
1534102593,0,1
1534104512,2,3
1534106488,2,0
1534108351,5,2
1534110275,3,8
1534112218,3,1
1534114108,2,1
1534116031,5,5
1534117962,1,5
1534119866,1,3
1534121799,1,1
1534123705,2,7
1534125774,1,4
1534127794,5,1
1534129961,1,2
1534131865,21,2
1534133802,0,1
1534135716,6,1
1534139568,0,1
1534141461,3,3
1534143403,1,0
1534145302,6,3
1534147286,6,2
1534149161,2,1
1534151085,1,4
1534152983,2,2
1534154921,3,5
1534156831,1,21
1534158746,4,4
1534161618,5,1
1534163543,2,8
1534165463,0,5
1534167377,2,8
1534169828,4,5
1534171712,4,2
1534173634,2,3
1534175555,2,1
1534177474,4,0
1534179404,8,8
1534181309,1,1
1534183293,5,1
1534185174,4,2
1534187084,4,2
1534189008,6,0
1534191095,3,3
1534193077,5,1
1534194979,1,5
1534197156,6,3
1534199063,3,4
1534201008,2,2
1534203789,4,3
1534205671,2,1
1534207488,3,0
1534209390,3,2
1534211323,0,3
1534213236,2,3
1534215173,1,3
1534217075,2,1
1534219001,1,21
1534220903,2,2
1534222900,2,2
1534224774,3,0
1534226671,1,1
1534228580,2,2
1534230550,3,4
1534232430,0,8
1534234362,5,3
1534236261,5,1
1534238203,7,0
1534240100,0,4
1534242041,7,1
1534243942,5,2
1534245879,1,3
1534247782,3,4
1534249949,4,2
1534251865,4,1
1534253811,1,3
1534255726,3,4
1534258008,3,5
1534259816,4,2
1534261700,5,2
1534263643,5,4
1534265544,1,3
1534267461,3,3
1534269394,0,3
1534271294,1,4
1534273292,0,3
1534275162,1,2
1534277238,5,2
1534279215,5,4
1534281138,4,2
1534283076,4,3
1534284980,3,2
1534286933,6,1
1534288831,2,3
1534290733,0,2
1534292767,2,5
1534294602,3,5
1534296496,3,3
1534298517,4,1
1534300345,2,1
1534302274,1,1
1534304183,6,0
1534306135,3,1
1534308037,4,2
1534309951,1,1
1534311881,3,3
1534313798,1,3
1534315698,4,1
1534317633,1,2
1534319552,1,3
1534321465,2276,6
1534323394,3,0
1534325295,1,7
1534327291,7,1
1534329169,5,2
1534331061,4,6
1534332980,1,1
1534334935,3,4
1534336819,2,2
1534338766,1,1
1534340658,1,0
1534342581,6,4
1534344520,2,1
1534346431,3,3
1534348577,3,5
1534350492,3,1
1534352489,2,0
1534354342,4,3
1534356263,2,0
1534358436,2,0
1534360350,1,1
1534362271,6,4
1534364188,3,4
1534366098,3,6
1534368622,4,3
1534370685,6,4
1534372581,2,2
1534374772,3,5
1534376837,2,2
1534378939,7,2
1534380762,2,3
1534382682,4,2
1534384514,5,2
1534386743,2,4
1534388694,0,1
1534390578,1,2
1534392528,0,4
1534394431,1,2
1534396363,4,1
1534398257,2,1
1534400210,1,2
1534402106,1,4
1534404023,3,1
1534405958,2,0
1534407878,6,2297
1534409779,2,4
1534411722,6,1
1534413686,5,9
1534415562,4,6
1534417475,6,5
1534419407,8,2
