DateTime,AddedIPs,RemovedIPs
1533958119,3,6
1533960188,3,3
1533962187,4,0
1533964146,4,4
1533966030,3,2
1533967957,7,2
1533969883,5,3
1533971781,3,2
1533973722,3,2
1533975632,0,2
1533977545,1,7
1533979480,5,11
1533981377,4,1
1533983303,5,4
1533985270,5,4
1533987144,3,5
1533989377,6,5
1533991228,4,4
1533993159,5,4
1533995067,4,2
1533997009,1,4
1533998914,7,1
1534000736,3,3
1534002738,3,1
1534004659,5,4
1534006600,2,2
1534008495,8,4
1534010487,5,3
1534012376,3,6
1534014279,8,2
1534016184,4,2
1534018125,3,4
1534020054,1,4
1534021957,5,3
1534023871,2,4
1534025823,8,7
1534027711,2,2
1534030831,4,6
1534032771,2,2
1534034671,5,3
1534036597,2,5
1534038764,6,5
1534040937,6,10
1534042903,9,2
1534044761,2,2
1534046676,4,2
1534048606,5,4
1534050534,7,4
1534052427,1,3
1534054349,4,5
1534056271,6,5
1534058197,8,2
1534060131,2,3
1534062045,7,3
1534063955,3,1
1534065871,3,5
1534067806,2,3
1534069711,4,7
1534071705,2,6
1534073558,2,1
1534075494,2,5
1534077404,1,4
1534079334,5,6
1534081238,3,3
1534083164,12,3
1534085063,2,5
1534086989,4,1
1534089060,7,3
1534091059,1,7
1534092996,2,3
1534094895,4,7
1534096883,4,4
1534098752,4,4
1534100669,3,6
1534102595,7,7
1534104516,4,3
1534106490,4,1
1534108353,4,5
1534110278,3,1
1534112221,5,9
1534114110,3,2
1534116034,3,2
1534117965,5,4
1534119869,7,6
1534121801,5,4
1534123707,3,0
1534125776,5,7
1534127796,6,3
1534129964,6,12
1534131867,6,2
1534133804,2,2
1534135719,4,8
1534137654,3,5
1534139571,8,2
1534141464,10,5
1534143406,2,5
1534145304,5,7
1534147289,4,3
1534149169,5,5
1534151087,4,2
1534152985,6,1
1534154923,4,4
1534156834,2,3
1534158749,6,4
1534161621,3,2
1534163546,4,4
1534165466,4,4
1534167384,3,4
1534169830,13,12
1534171715,3,1
1534173636,9,4
1534175557,4,4
1534177477,5,2
1534179406,7,2
1534181312,4,4
1534183296,7,4
1534185177,5,4
1534187086,6,3
1534189011,3,6
1534191098,5,7
1534193079,3,2
1534194981,3,3
1534197159,7,3
1534199066,2,4
1534201011,8,7
1534203792,6,6
1534205674,9,5
1534207490,3,5
1534209393,6,4
1534211326,0,2
1534213239,2,4
1534215176,10,6
1534217077,1,5
1534219004,5,3
1534220906,6,3
1534222905,13,4
1534224777,8,6
1534226673,7,8
1534228582,7,7
1534230553,10,1
1534232432,6,3
1534234364,7,6
1534236263,13,5
1534238205,10,7
1534240102,8,6
1534242044,3,5
1534243945,5,1
1534245882,5,6
1534247785,4,2
1534249951,8,7
1534251867,5,4
1534253814,4,3
1534255728,6,7
1534258010,8,8
1534259818,3,4
1534261702,7,5
1534263645,4,5
1534265552,5,5
1534267463,7,3
1534269396,3,5
1534271296,5,5
1534273295,5,3
1534275165,5,6
1534277241,8,7
1534279217,5,5
1534281140,6,4
1534283078,6,4
1534284982,7,2
1534286935,8,8
1534288833,5,6
1534290735,3,7
1534292769,3,6
1534294604,5,4
1534296499,2,6
1534298519,4,1
1534300347,4,6
1534302276,3,5
1534304185,1,2
1534306137,3,5
1534308041,5,8
1534309953,5,10
1534311883,3,9
1534313801,3,5
1534315701,2,8
1534317635,8,8
1534319554,5,8
1534321468,5,7
1534323396,4,15
1534325298,4,8
1534327299,5,7
1534329174,5,7
1534331064,7,3
1534332983,2,4
1534334938,3,4
1534336822,7,7
1534338768,3,5
1534340661,8,1
1534342583,3,8
1534344522,6,6
1534346434,4,2
1534348579,1,5
1534350500,6,6
1534352495,3,4
1534354344,6,5
1534356265,4,2
1534358438,10,8
1534360353,7,5
1534362273,4,10
1534364191,8,7
1534366101,7,5
1534368625,5,10
1534370687,6,5
1534372583,3,9
1534374774,5,9
1534376839,6,2
1534378941,5,4
1534380765,5,6
1534382684,4,4
1534384517,7,4
1534386746,3,5
1534388698,2,1
1534390580,6,1
1534392530,1,4
1534394435,2,3
1534396366,4,4
1534398259,4,4
1534400213,6,4
1534402108,5,2
1534404026,3,7
1534405960,6,6
1534407880,6,5
1534409781,4,4
1534411724,3,6
1534413690,3,8
1534415564,6,5
1534417478,5,6
1534419409,7,3
1534421332,3,3
1534423224,4,7
1534425160,5,4
1534427072,1,8
1534429007,8,3
1534430916,6,6
1534432832,3,4
1534434784,8,1
1534436667,6,4
1534438520,3,2
1534440497,6,9
1534442503,1,4
1534444343,4,9
1534446166,3,8
1534448173,6,5
1534450022,3,8
1534452016,5,10
1534453858,3,2
1534455858,3,5
1534457790,1,6
1534459716,4,4
1534461561,7,4
1534463595,8,4
1534465721,2,4
1534467708,4,5
1534469557,8,5
1534471496,3,5
1534473422,7,3
1534475339,2,2
1534477497,6,3
1534479394,7,2
1534481580,3,3
1534483474,2,4
1534485398,3,5
1534487318,21,5
1534489315,6,4
1534491180,3,3
1534493104,8,5
1534494995,5,5
