DateTime,Entries,UniqueIPs
1533958120,30206,30206
1533960189,30174,30174
1533962188,30189,30189
1533964147,30207,30207
1533966031,30180,30180
1533967958,30186,30186
1533969884,30176,30176
1533971782,30199,30199
1533973723,30037,30037
1533975640,27056,27056
1533977546,24114,24114
1533979481,21281,21281
1533981377,21087,21087
1533983304,21087,21087
1533985279,21095,21095
1533987145,21068,21068
1533989378,21050,21050
1533991228,20961,20961
1533993160,15570,15570
1533995068,9449,9449
1533997009,5140,5140
1533998914,5077,5077
1534000736,5117,5117
1534002739,6521,6521
1534004659,8694,8694
1534006600,8760,8760
1534008496,8784,8784
1534010488,8752,8752
1534012377,8767,8767
1534014279,8822,8822
1534016184,8903,8903
1534018125,8940,8940
1534020054,8763,8763
1534021957,8765,8765
1534023871,8774,8774
1534025823,8726,8726
1534027712,8728,8728
1534030832,8739,8739
1534032772,8732,8732
1534034672,8729,8729
1534036598,8731,8731
1534038765,8644,8644
1534040938,8298,8298
1534042904,8257,8257
1534044762,8311,8311
1534046677,8299,8299
1534048607,8245,8245
1534050537,8267,8267
1534052428,8282,8282
1534054350,8250,8250
1534056272,8260,8260
1534058198,8241,8241
1534060132,8246,8246
1534062046,8236,8236
1534063956,8231,8231
1534065872,8237,8237
1534067808,8240,8240
1534069712,8214,8214
1534071706,8222,8222
1534073559,8227,8227
1534075495,8225,8225
1534077405,8218,8218
1534079335,8210,8210
1534081239,8215,8215
1534083165,8203,8203
1534085063,8185,8185
1534086990,8148,8148
1534089069,6849,6849
1534091059,4517,4517
1534092996,4485,4485
1534094895,4530,4530
1534096884,4538,4538
1534098752,4890,4890
1534100670,5117,5117
1534102596,5087,5087
1534104517,5087,5087
1534106490,5095,5095
1534108353,5085,5085
1534110279,5094,5094
1534112221,5083,5083
1534114111,5057,5057
1534116048,5075,5075
1534117965,4871,4871
1534119869,4854,4854
1534121801,4859,4859
1534123708,4855,4855
1534125777,4849,4849
1534127797,5583,5583
1534129964,7407,7407
1534131868,9304,9304
1534133812,10202,10202
1534135719,10196,10196
1534137668,10135,10135
1534139571,10129,10129
1534141464,10122,10122
1534143406,10099,10099
1534145305,10098,10098
1534147289,10070,10070
1534149169,10063,10063
1534151088,10083,10083
1534152986,10080,10080
1534154924,10070,10070
1534156834,12629,12629
1534158750,16810,16810
1534161622,16798,16798
1534163547,16777,16777
1534165467,16772,16772
1534167385,16765,16765
1534169831,16807,16807
1534171715,17129,17129
1534173638,17072,17072
1534175558,17105,17105
1534177478,17242,17242
1534179407,17418,17418
1534181313,17438,17438
1534183297,17451,17451
1534185178,17464,17464
1534187088,17456,17456
1534189012,17485,17485
1534191099,17476,17476
1534193080,17471,17471
1534194982,17508,17508
1534197160,17539,17539
1534199067,17556,17556
1534201012,17543,17543
1534203794,17584,17584
1534205675,17588,17588
1534207492,17588,17588
1534209394,17608,17608
1534211327,17675,17675
1534213240,17742,17742
1534215177,16351,16351
1534217078,14742,14742
1534219005,13109,13109
1534220907,13001,13001
1534222906,13024,13024
1534224778,13059,13059
1534226675,13074,13074
1534228583,13121,13121
1534230555,13122,13122
1534232433,13136,13136
1534234365,13137,13137
1534236264,13140,13140
1534238206,13121,13121
1534240103,13160,13160
1534242045,13168,13168
1534243946,8089,8089
1534245882,5850,5850
1534247786,5849,5849
1534249952,5884,5884
1534251868,5904,5904
1534253814,5911,5911
1534255730,5966,5966
1534258011,5736,5736
1534259819,5721,5721
1534261703,5705,5705
1534263646,5475,5475
1534265553,5163,5163
1534267464,5154,5154
1534269397,5152,5152
1534271297,5158,5158
1534273296,5153,5153
1534275165,5140,5140
1534277241,5138,5138
1534279218,5134,5134
1534281141,5096,5096
1534283079,5103,5103
1534284983,5105,5105
1534286936,5097,5097
1534288842,5086,5086
1534290735,5080,5080
1534292770,5109,5109
1534294605,5114,5114
1534296500,5094,5094
1534298520,5036,5036
1534300348,5248,5248
1534302277,5264,5264
1534304186,5225,5225
1534306138,5247,5247
1534308042,5258,5258
1534309954,5250,5250
1534311884,5224,5224
1534313803,5204,5204
1534315701,5436,5436
1534317636,5471,5471
1534319555,5471,5471
1534321468,5499,5499
1534323397,5546,5546
1534325298,5523,5523
1534327300,5537,5537
1534329175,5543,5543
1534331064,5522,5522
1534332984,5518,5518
1534334939,5498,5498
1534336823,5470,5470
1534338769,5456,5456
1534340662,5456,5456
1534342584,5431,5431
1534344523,5481,5481
1534346435,6380,6380
1534348586,7047,7047
1534350501,7062,7062
1534352496,7058,7058
1534354345,7038,7038
1534356266,7060,7060
1534358439,7061,7061
1534360354,7087,7087
1534362274,7113,7113
1534364191,7099,7099
1534366102,7316,7316
1534368626,7603,7603
1534370689,7609,7609
1534372584,7615,7615
1534374775,7620,7620
1534376840,7636,7636
1534378942,7620,7620
1534380767,7611,7611
1534382685,7600,7600
1534384519,7612,7612
1534386747,7468,7468
1534388700,7995,7995
1534390581,8113,8113
1534392531,8070,8070
1534394437,8125,8125
1534396367,8125,8125
1534398260,8130,8130
1534400214,8172,8172
1534402109,8158,8158
1534404027,8191,8191
1534405961,8213,8213
1534407881,8190,8190
1534409782,8233,8233
1534411725,8249,8249
1534413691,8264,8264
1534415565,8281,8281
1534417479,8330,8330
1534419410,8358,8358
1534421333,8369,8369
1534423225,8386,8386
1534425162,10920,10920
1534427074,14847,14847
1534429009,14816,14816
1534430917,14843,14843
1534432833,14843,14843
1534434785,17038,17038
1534436671,19729,19729
1534438522,19765,19765
1534440498,19595,19595
1534442505,19557,19557
1534444344,19573,19573
1534446167,19546,19546
1534448175,19621,19621
1534450024,19630,19630
1534452018,19626,19626
1534453859,19173,19173
1534455859,19163,19163
1534457791,19163,19163
1534459718,19159,19159
1534461562,19165,19165
1534463596,19146,19146
1534465723,19126,19126
1534467710,19130,19130
1534469559,19139,19139
1534471497,19143,19143
1534473425,19083,19083
1534475341,18315,18315
1534477498,18111,18111
1534479396,18953,18953
1534481581,20964,20964
1534483475,22470,22470
1534485407,23122,23122
1534487320,23135,23135
1534489325,23144,23144
1534491182,23157,23157
1534493105,23108,23108
1534494997,23106,23106
1534496932,23062,23062
1534498843,23063,23063
1534500779,23038,23038
1534502688,23023,23023
1534504620,23053,23053
1534506513,23053,23053
1534508444,23050,23050
1534510379,23063,23063
1534512293,23068,23068
1534514235,23048,23048
1534516130,23053,23053
1534518111,20401,20401
1534520198,14894,14894
1534522322,11078,11078
1534524263,10221,10221
1534526218,10253,10253
1534528104,10260,10260
1534530278,10208,10208
1534532321,10237,10237
1534534124,10260,10260
1534536105,10310,10310
1534537953,10326,10326
1534540079,10348,10348
1534542048,10355,10355
1534543952,10360,10360
1534545862,10356,10356
1534547784,10363,10363
1534549623,10380,10380
1534551644,10384,10384
1534553574,10391,10391
1534555470,10410,10410
1534557386,10387,10387
1534559566,10312,10312
1534561512,10240,10240
1534563409,10327,10327
1534565432,9730,9730
1534567237,7829,7829
1534569341,5771,5771
1534571317,4463,4463
1534573512,5038,5038
1534575392,5053,5053
1534577344,5033,5033
1534579300,5074,5074
1534581176,5172,5172
1534583124,5279,5279
1534585015,5406,5406
1534586939,5517,5517
1534588869,5517,5517
1534590780,5496,5496
1534592702,5603,5603
1534594599,5623,5623
1534596528,5651,5651
1534598453,5632,5632
1534600373,5650,5650
1534602274,5647,5647
1534604223,5651,5651
1534606122,5618,5618
1534608098,5656,5656
1534609960,5696,5696
1534611909,5659,5659
1534613800,5679,5679
1534615730,5666,5666
1534617654,5661,5661
1534619454,5689,5689
1534621465,5669,5669
1534623274,5688,5688
1534625331,5679,5679
1534627221,5724,5724
1534629142,5752,5752
1534630985,6546,6546
1534632983,6535,6535
1534634865,6556,6556
1534636889,6568,6568
1534638739,6568,6568
1534640936,6566,6566
1534642935,6594,6594
1534644766,6609,6609
1534646675,6620,6620
1534648594,6609,6609
1534650533,6635,6635
1534652442,6692,6692
1534654367,6730,6730
1534656292,6695,6695
1534658203,6753,6753
1534660147,6776,6776
1534662100,6760,6760
1534663950,6791,6791
1534665897,7007,7007
1534667797,8576,8576
1534669732,8585,8585
1534671634,8606,8606
1534673574,8613,8613
1534675470,8628,8628
1534677417,8605,8605
1534679305,8609,8609
1534681262,8657,8657
1534683154,8823,8823
1534685092,8847,8847
1534686984,8839,8839
1534688924,8851,8851
1534690892,8845,8845
1534692773,8840,8840
1534694971,8919,8919
1534696823,8954,8954
1534698774,8959,8959
1534700671,8804,8804
1534702592,8787,8787
1534704775,8780,8780
1534706826,8771,8771
1534708887,8801,8801
1534710748,8791,8791
1534712671,8797,8797
1534714585,8817,8817
1534716528,8434,8434
1534718430,8159,8159
1534720344,8157,8157
1534723164,8315,8315
1534725182,10268,10268
1534727071,12078,12078
1534729038,13737,13737
1534730988,13745,13745
1534732866,13871,13871
1534734848,13855,13855
1534736726,13803,13803
1534738641,13824,13824
1534740536,13846,13846
1534742521,13853,13853
1534744394,13925,13925
1534746320,13951,13951
1534748252,13972,13972
1534750182,13964,13964
1534752106,13995,13995
1534754021,13752,13752
1534755903,13770,13770
1534757962,13765,13765
1534759806,13759,13759
1534761698,13745,13745
1534763599,13765,13765
1534765566,13737,13737
1534767431,13722,13722
1534769364,13726,13726
1534771263,13722,13722
1534773867,13747,13747
1534775779,13772,13772
1534777981,13763,13763
1534779881,13734,13734
1534782081,13671,13671
1534783966,13915,13915
1534785885,13965,13965
1534787803,13905,13905
1534789713,13943,13943
1534791720,14006,14006
1534793568,14024,14024
1534795478,14070,14070
1534797394,14098,14098
1534799325,14128,14128
1534801225,14141,14141
1534803155,14166,14166
1534805069,14187,14187
1534807006,14190,14190
1534808905,14174,14174
1534811884,11834,11834
1534813723,10129,10129
1534815624,8721,8721
1534817573,8718,8718
1534819471,5799,5799
1534821635,5799,5799
1534823587,5765,5765
1534825479,5650,5650
1534827382,5733,5733
1534829329,5770,5770
1534831300,5242,5242
1534833145,5331,5331
1534835070,5424,5424
1534837001,5420,5420
1534838936,5385,5385
1534840834,6901,6901
1534842776,9441,9441
1534844672,11582,11582
1534846616,11585,11585
1534848501,11605,11605
1534850439,11616,11616
1534852616,11590,11590
1534854504,11612,11612
1534856486,11708,11708
1534858376,13346,13346
1534860275,14872,14872
1534862191,15717,15717
1534864130,15711,15711
1534866031,15710,15710
1534868001,15938,15938
1534869889,15750,15750
1534871822,15698,15698
1534873951,15785,15785
1534875869,15750,15750
1534877789,15774,15774
1534879699,15814,15814
1534881548,15805,15805
1534883557,15803,15803
1534885466,15788,15788
1534887401,15780,15780
1534889303,15767,15767
1534891243,15763,15763
1534893404,15780,15780
1534895594,15796,15796
1534897474,16715,16715
1534899730,18716,18716
1534901666,20306,20306
1534903501,20630,20630
1534905625,20621,20621
1534907565,21166,21166
1534909461,21165,21165
1534911631,21157,21157
1534913568,21087,21087
1534915489,21156,21156
1534917402,21164,21164
1534919304,21145,21145
1534921304,21143,21143
1534923156,21145,21145
1534925085,21137,21137
1534927015,20099,20099
1534928935,17828,17828
1534930841,15741,15741
1534932764,15733,15733
