DateTime,AddedIPs,RemovedIPs
1534541311,7,3
1534542028,6,3
1534542778,2,4
1534543469,1,6
1534544193,7,7
1534544906,5,8
1534545644,12,5
1534546593,5,6
1534547562,6,1
1534548297,2,4
1534549968,13,10
1534550685,5,11
1534551613,6,3
1534552336,7,4
1534553052,4,3
1534553770,3,0
1534554737,6,1
1534555450,7,11
1534556175,9,9
1534556902,11,0
1534557631,9,14
1534558585,20,11
1534559544,7,2
1534560269,7,10
1534560991,10,5
1534561711,4,0
1534562433,4,10
1534563154,6,5
1534563877,10,5
1534564590,7,3
1534565307,4,0
1534566277,5,8
1534567217,6,5
1534567927,2,1
1534568656,1,6
1534569638,1,1
1534570357,4,3
1534571078,4,1
1534571788,4,3
1534572514,5,1
1534573477,0,1
1534574192,3,2
1534574921,4,0
1534575643,2,0
1534576340,3,3
1534577312,4,5
1534578008,4,2
1534578746,3,1
1534579726,6,4
1534580663,4,3
1534581616,7,6
1534582351,3,3
1534583083,3,3
1534583772,6,0
1534584500,7,11
1534585207,4,15
1534585932,4,7
1534586653,2,4
1534587386,7,0
1534588366,5,7
1534589302,3,0
1534590286,7,12
1534590971,8,0
1534591712,6,4
1534592678,6,3
1534593665,7,3
1534594356,4,4
1534595054,3,0
1534595767,1,3
1534596496,4,1
1534597464,8,5
1534598181,2,4
1534598891,2,5
1534599608,4,2
1534600343,2,3
1534601054,2,5
1534601788,3,8
1534602758,4,2
1534603474,4,0
1534604193,5,3
1534604911,6,0
1534605693,4,4
1534606352,2,2
1534607083,6,2
1534608037,7,4
1534609002,8,4
1534609705,5,8
1534610436,8,0
1534611145,4,2
1534611884,4,5
1534612591,1,2
1534613314,8,3
1534614030,3,0
1534614750,5,6
1534615470,4,5
1534616204,1,8
1534617170,4,1
1534617866,3,5
1534618593,1,2
1534619438,5,3
1534620275,1,2
1534620987,3,5
1534621719,3,1
1534622425,1,2
1534623160,2,1
1534623865,2,5
1534624586,1,4
1534625311,4,1
1534626065,4,5
1534626747,0,12
1534627467,1,2
1534628184,1,4
1534628916,2,2
1534629622,1,1
1534630335,4,0
1534631293,3,6
1534632007,0,4
1534632762,3,4
1534633714,0,15
1534634421,2,0
1534635152,3,0
1534635864,1,6
1534636588,5,3
1534637552,3,8
1534638281,3,5
1534638988,4,3
1534640446,11,8
1534641141,3,2
1534641852,6,8
1534642814,6,7
1534643527,13,13
1534644263,5,0
1534644974,9,8
1534645689,6,4
1534646654,5,15
1534647632,6,8
1534648340,6,12
1534649069,3,3
1534649780,4,0
1534650516,4,4
1534651221,2,9
1534651955,11,3
1534652667,3,5
1534653384,0,1
1534654349,2,5
1534655064,2,0
1534655799,2,5
1534656496,2,1
1534657229,0,5
1534658185,6,4
1534659148,1,2
1534660129,2,0
1534661066,8,3
1534662041,5,8
1534662746,5,3
1534663469,2,0
1534664179,1,2
1534664909,1,7
1534665876,3,6
1534666582,1,4
1534667308,2,3
1534668043,5,2
1534668741,3,0
1534669713,4,8
1534670423,4,0
1534671147,3,5
1534671864,1,2
1534672579,4,8
1534673555,2,4
1534674262,2,0
1534674984,3,4
1534675703,5,1
1534676430,0,2
1534677400,6,9
1534678351,5,2
1534679060,3,0
1534679781,4,4
1534680498,4,0
1534681226,1,2
1534681943,5,4
1534682666,3,1
1534683381,2,1
1534684104,4,7
1534685071,0,2
1534686025,4,1
1534686739,3,5
1534687468,3,4
1534688183,5,4
1534688907,1,5
1534689619,2,4
1534690345,1,0
1534691066,3,2
1534691786,5,1
1534692748,6,3
1534693459,5,4
1534694445,3,1
1534695138,4,6
1534695855,3,0
1534696568,3,1
1534697295,5,5
1534698010,2,0
1534698754,2,23
1534699461,3,6
1534700185,2,0
1534700902,2,2
1534701631,1,3
1534702338,4,3
1534703084,1,3
1534703793,3,4
1534704751,1,2
1534705462,6,4
1534706195,1,2
1534706803,4,5
1534707614,5,2
1534708327,8,4
1534709061,1,4
1534709776,1,0
1534710500,0,2
1534711208,6,3
1534711933,2,1
1534712653,11,5
1534713375,3,1
1534714355,2,3
1534715060,3,1
1534715788,3,5
1534716499,3,3
1534717219,4,4
1534717944,36,8
1534718662,24,2
1534719376,10,0
1534720116,8,0
1534720818,9,8
1534721547,1,0
1534723507,11,11
1534724181,6,1
1534725146,5,2
1534725867,2,4
1534726577,4,8
1534727303,1,3
1534728030,7,4
1534728742,4,6
1534729466,12,10
1534730430,9,10
1534731414,10,5
1534732097,9,4
1534732822,6,4
1534733540,5,5
1534734269,7,4
1534735231,6,12
1534735941,10,0
1534736663,7,5
1534737648,10,3
1534738340,7,3
1534739059,6,2
1534739769,4,0
1534740495,3,2
1534741467,6,8
1534742432,8,5
1534743141,3,2
1534743863,4,2
1534744580,11,0
1534745316,3,4
1534746016,3,1
1534746758,3,2
1534747459,3,0
1534748182,2,0
1534749161,7,2
1534749851,3,0
1534750575,6,3
1534751297,4,0
1534752031,10,5
1534752729,8,0
1534753452,8,4
1534754420,6,8
1534755133,5,3
1534755857,3,0
1534756829,5,5
1534757534,3,1
1534758263,2,6
1534758966,7,3
1534759711,4,2
1534760671,4,5
1534761380,4,3
1534762105,7,1
1534762825,9,3
1534763549,5,5
1534764259,1,3
1534764983,4,0
1534765951,10,6
1534766668,5,6
1534767387,4,0
1534768349,5,4
1534769060,4,5
1534769791,4,2
1534770500,4,0
1534771223,1,2
1534771942,3,2
1534774132,9,6
1534774816,9,4
1534775547,1,5
1534776260,6,2
1534776979,5,4
1534777957,13,4
1534778659,8,0
1534779382,5,5
1534780348,7,3
1534781067,4,7
1534782047,7,3
1534782732,5,5
1534783455,2,4
1534784449,8,3
1534785128,4,3
1534785858,3,2
1534786568,6,7
1534787292,8,4
1534788263,4,3
1534789229,6,9
1534790189,10,2
1534790900,5,4
1534791642,4,3
1534792341,3,3
1534793053,7,2
1534793768,12,5
1534794495,7,3
1534795215,6,1
1534795933,2,6
1534796652,4,6
1534797373,2,19
1534798095,3,27
1534798813,0,2
1534799535,3,4
1534800250,1,1
1534800970,2,3
1534801934,9,4
1534802655,4,6
1534803385,2,4
1534804088,3,4
1534804826,3,5
1534805555,5,2
1534806273,1,2
1534806987,4,6
1534807706,4,2
1534808420,5,1
1534809141,5,3
1534809867,6,5
1534810594,2,3
1534812273,10,5
1534812983,9,3
1534813703,5,3
1534814422,7,8
1534815146,4,0
1534815860,12,18
1534816581,7,0
1534817549,15,14
1534818266,6,2
1534818986,3,1
1534819700,6,4
1534820427,8,6
1534821141,6,8
1534821862,3,8
1534822582,5,5
1534823566,9,5
1534824268,4,4
1534824982,5,6
1534825698,6,4
1534826423,1,2
1534827138,9,5
1534827867,2,5
1534828833,2,3
1534829550,3,0
1534830265,3,3
1534831230,10,4
1534831938,5,3
1534832679,4,2
1534833379,6,1
1534834105,3,6
1534834835,4,4
1534835553,6,0
1534836263,7,7
1534836983,5,3
1534837945,10,5
1534838916,8,2
1534839617,4,1
1534840350,6,23
1534841060,8,0
1534841783,6,7
1534842747,3,6
1534843464,9,1
1534844184,5,2
1534844901,9,0
1534845632,6,2
1534846592,6,9
1534847567,2,4
1534848260,11,0
1534848985,2,2
1534849698,3,2
1534850419,6,11
1534851144,2,1
1534851870,4,8
1534852583,3,2
1534853548,5,6
1534854261,4,2
1534854981,5,2
1534855949,2,0
1534856663,6,7
1534857398,0,3
1534858348,4,2
1534859060,1,1
1534859785,2,2
1534860498,4,0
1534861225,7,6
1534861946,2,3
1534862665,4,5
1534863638,4,20
1534864329,7,0
1534865086,4,4
1534865777,5,0
1534866504,5,3
1534867485,9,9
1534868181,3,5
1534868900,5,4
1534869868,6,6
1534870823,7,0
1534871802,5,7
1534872738,8,2
1534873461,5,2
1534874173,7,4
1534875141,3,6
1534875850,5,5
1534876571,4,3
1534877538,4,2
1534878511,6,3
1534879465,5,3
1534880183,2,2
1534880910,5,0
1534881523,5,3
1534882338,7,1
1534883051,8,2
1534883778,0,1
1534884490,1,7
1534885232,5,0
1534885936,7,4
1534886690,3,0
1534887380,7,8
1534888102,3,4
1534888828,3,4
1534889556,3,3
1534890513,2,9
1534891218,4,0
1534891949,5,5
1534892911,5,5
1534893863,3,6
1534895559,14,10
1534896273,7,0
1534897229,7,5
1534898192,15,4
1534899146,7,8
1534900123,10,2
1534901066,6,11
1534902030,4,6
1534902737,5,0
1534903472,10,16
1534904183,9,0
1534904904,7,4
1534905881,11,7
1534906837,6,14
1534907539,6,0
1534908279,7,9
1534908979,9,2
1534909710,5,5
1534910424,6,0
1534911147,6,10
1534911868,7,2
1534912584,3,1
1534913549,6,2
1534914265,3,4
1534914992,6,4
1534915702,2,1
