DateTime,Entries,UniqueIPs
1534540592,13292,13920
1534541311,13295,13923
1534542028,13294,13923
1534542778,13294,13922
1534543469,13291,13916
1534544193,13296,13922
1534544906,13296,13923
1534545644,13302,13931
1534546593,13300,13929
1534547562,13301,13928
1534548297,13299,13926
1534549968,13299,13929
1534550685,13297,13927
1534551613,13300,13933
1534552336,13296,13930
1534553052,13289,13925
1534553770,13286,13923
1534554737,13281,13918
1534555450,13288,13925
1534556175,13272,13910
1534556902,13283,13921
1534557631,13284,13923
1534558585,13289,13928
1534559544,13289,13927
1534560269,13291,13929
1534560991,13298,13937
1534561711,13295,13935
1534562433,13293,13932
1534563154,13290,13930
1534563877,13295,13937
1534564590,13287,13932
1534565307,13288,13936
1534566277,13281,13931
1534567217,13284,13934
1534567927,13283,13932
1534568656,13277,13926
1534569638,13265,13915
1534570357,13266,13914
1534571078,13268,13915
1534571788,13268,13916
1534572514,13265,13911
1534573477,13264,13909
1534574192,13265,13910
1534574921,13267,13913
1534575643,13261,13907
1534576340,13265,13911
1534577312,13261,13906
1534578008,13261,13904
1534578746,13261,13905
1534579726,13264,13906
1534580663,13266,13908
1534581616,13270,13910
1534582351,13273,13910
1534583083,13275,13909
1534583772,13279,13913
1534584500,13280,13915
1534585207,13276,13910
1534585932,13275,13915
1534586653,13272,13912
1534587386,13272,13914
1534588366,13276,13919
1534589302,13273,13916
1534590286,13275,13915
1534590971,13282,13924
1534591712,13285,13927
1534592678,13286,13929
1534593665,13289,13930
1534594356,13291,13932
1534595054,13290,13932
1534595767,13284,13926
1534596496,13286,13929
1534597464,13291,13933
1534598181,13293,13935
1534598891,13291,13933
1534599608,13292,13936
1534600343,13295,13939
1534601054,13298,13942
1534601788,13288,13932
1534602758,13288,13932
1534603474,13288,13933
1534604193,13294,13939
1534604911,13295,13939
1534605693,13296,13942
1534606352,13293,13938
1534607083,13294,13941
1534608037,13300,13945
1534609002,13303,13950
1534609705,13303,13949
1534610436,13301,13948
1534611145,13300,13949
1534611884,13305,13953
1534612591,13304,13952
1534613314,13307,13954
1534614030,13309,13954
1534614750,13310,13954
1534615470,13310,13953
1534616204,13305,13947
1534617170,13301,13942
1534617866,13303,13939
1534618593,13301,13936
1534619438,13304,13939
1534620275,13301,13936
1534620987,13303,13937
1534621719,13305,13938
1534622425,13305,13937
1534623160,13304,13936
1534623865,13307,13939
1534624586,13306,13937
1534625311,13306,13936
1534626065,13307,13934
1534626747,13301,13927
1534627467,13299,13925
1534628184,13291,13917
1534628916,13286,13912
1534629622,13284,13908
1534630335,13284,13908
1534631293,13285,13910
1534632007,13284,13908
1534632762,13285,13908
1534633714,13277,13897
1534634421,13279,13899
1534635152,13278,13894
1534635864,13280,13896
1534636588,13271,13883
1534637552,13270,13881
1534638281,13274,13885
1534638988,13273,13882
1534640446,13275,13882
1534641141,13270,13876
1534641852,13265,13872
1534642814,13260,13866
1534643527,13267,13873
1534644263,13263,13866
1534644974,13272,13875
1534645689,13270,13872
1534646654,13269,13871
1534647632,13271,13871
1534648340,13269,13869
1534649069,13267,13866
1534649780,13271,13870
1534650516,13267,13866
1534651221,13262,13861
1534651955,13270,13870
1534652667,13269,13868
1534653384,13264,13863
1534654349,13264,13863
1534655064,13265,13864
1534655799,13264,13862
1534656496,13266,13864
1534657229,13264,13862
1534658185,13268,13865
1534659148,13263,13860
1534660129,13265,13860
1534661066,13267,13861
1534662041,13266,13859
1534662746,13266,13859
1534663469,13268,13861
1534664179,13265,13858
1534664909,13264,13857
1534665876,13263,13802
1534666582,13220,13748
1534667308,13222,13750
1534668043,13223,13751
1534668741,13218,13746
1534669713,13219,13743
1534670423,13217,13741
1534671147,13221,13745
1534671864,13216,13740
1534672579,13215,13738
1534673555,13214,13737
1534674262,13213,13736
1534674984,13216,13739
1534675703,13218,13739
1534676430,13215,13736
1534677400,13216,13735
1534678351,13215,13733
1534679060,13214,13732
1534679781,13218,13736
1534680498,13222,13740
1534681226,13220,13738
1534681943,13223,13740
1534682666,13226,13743
1534683381,13220,13736
1534684104,13225,13741
1534685071,13219,13735
1534686025,13218,13734
1534686739,13216,13732
1534687468,13216,13732
1534688183,13220,13735
1534688907,13220,13735
1534689619,13219,13734
1534690345,13221,13735
1534691066,13223,13737
1534691786,13223,13737
1534692748,13227,13741
1534693459,13231,13745
1534694445,13229,13739
1534695138,13228,13738
1534695855,13230,13740
1534696568,13229,13739
1534697295,13226,13736
1534698010,13226,13735
1534698754,13225,13732
1534699461,13228,13735
1534700185,13217,13724
1534700902,13219,13726
1534701631,13215,13722
1534702338,13219,13726
1534703084,13206,13713
1534703793,13206,13713
1534704751,13202,13709
1534705462,13206,13713
1534706195,13205,13711
1534706803,13204,13710
1534707614,13207,13713
1534708327,13212,13718
1534709061,13209,13712
1534709776,13201,13703
1534711208,13208,13710
1534711933,13207,13708
1534712653,13212,13713
1534713375,13212,13713
1534714355,13210,13708
1534715060,13212,13710
1534715788,13213,13711
1534716499,13209,13707
1534717219,13212,13710
1534717944,13232,13745
1534718662,13252,13768
1534719376,13251,13772
1534720116,13251,13776
1534720818,13257,13783
1534721547,13254,13780
1534723507,13250,13775
1534724181,13256,13781
1534725146,13252,13777
1534725867,13251,13776
1534726577,13255,13780
1534727303,13252,13777
1534728030,13244,13770
1534728742,13249,13775
1534729466,13249,13775
1534730430,13248,13773
1534731414,13245,13771
1534732097,13247,13773
1534732822,13250,13776
1534733540,13253,13781
1534734269,13254,13783
1534735231,13254,13787
1534735941,13267,13800
1534736663,13265,13798
1534737648,13261,13796
1534738340,13269,13805
1534739059,13270,13809
1534739769,13268,13806
1534740495,13265,13804
1534741467,13265,13805
1534742432,13267,13809
1534743141,13269,13809
1534743863,13267,13809
1534744580,13271,13817
1534745316,13273,13818
1534746016,13277,13823
1534746758,13274,13818
1534747459,13278,13823
1534748182,13277,13822
1534749161,13276,13819
1534749851,13281,13825
1534750575,13287,13832
1534751297,13285,13830
1534752031,13290,13834
1534752729,13292,13840
1534753452,13290,13838
1534754420,13290,13839
1534755133,13288,13842
1534755857,13292,13846
1534756829,13299,13855
1534757534,13301,13858
1534758263,13299,13854
1534758966,13302,13857
1534759711,13293,13851
1534760671,13293,13850
1534761380,13295,13849
1534762105,13291,13848
1534762825,13294,13859
1534763549,13295,13858
1534764259,13290,13853
1534764983,13293,13855
1534765951,13296,13857
1534766668,13303,13864
1534767387,13301,13862
1534768349,13304,13867
1534769060,13308,13872
1534769791,13308,13872
1534770500,13314,13877
1534771223,13312,13875
1534771942,13316,13879
1534774132,13318,13881
1534774816,13322,13886
1534775547,13320,13884
1534776260,13318,13883
1534776979,13321,13889
1534777957,13324,13891
1534778659,13329,13900
1534779382,13331,13903
1534780348,13332,13907
1534781067,13330,13906
1534782047,13331,13908
1534782732,13337,13914
1534783455,13331,13911
1534784449,13332,13909
1534785128,13328,13905
1534785858,13330,13907
1534786568,13334,13914
1534787292,13335,13916
1534788263,13332,13914
1534789229,13329,13911
1534790189,13338,13922
1534790900,13337,13921
1534791642,13338,13922
1534792341,13345,13929
1534793053,13349,13934
1534793768,13352,13938
1534794495,13350,13939
1534795215,13355,13945
1534795933,13350,13940
1534796652,13345,13936
1534797373,13341,13932
1534798095,13344,13933
1534798813,13342,13930
1534799535,13341,13928
1534800250,13338,13926
1534800970,13333,13925
1534801934,13341,13934
1534802655,13342,13933
1534803385,13336,13926
1534804088,13335,13925
1534804826,13336,13927
1534805555,13336,13929
1534806273,13329,13922
1534806987,13334,13927
1534807706,13324,13916
1534808420,13330,13922
1534809141,13325,13918
1534809867,13323,13917
1534810594,13324,13918
1534812273,13312,13908
1534812983,13316,13914
1534813703,13316,13918
1534814422,13311,13913
1534815146,13302,13906
1534815860,13311,13915
1534816581,13309,13913
1534817549,13309,13915
1534818266,13309,13915
1534818986,13305,13911
1534819700,13309,13915
1534820427,13312,13918
1534821141,13312,13921
1534821862,13305,13913
1534822582,13311,13919
1534823566,13313,13922
1534824268,13313,13922
1534824982,13309,13919
1534825698,13312,13923
1534826423,13314,13922
1534827138,13323,13933
1534827867,13283,13893
1534828833,13280,13893
1534829550,13283,13896
1534830265,13278,13891
1534831230,13284,13899
1534831938,13285,13898
1534832679,13288,13900
1534833379,13291,13903
1534834105,13286,13898
1534834835,13290,13902
1534835553,13287,13900
1534836263,13294,13907
1534836983,13291,13902
1534837945,13295,13907
1534838916,13296,13909
1534839617,13299,13911
1534840350,13304,13917
1534841060,13306,13920
1534841783,13310,13925
1534842747,13313,13927
1534843464,13316,13934
1534844184,13315,13933
1534844901,13319,13938
1534845632,13319,13934
1534846592,13320,13934
1534847567,13311,13926
1534848260,13321,13939
1534848985,13317,13935
1534849698,13319,13938
1534850419,13322,13943
1534851144,13322,13943
1534851870,13325,13946
1534852583,13328,13947
1534853548,13328,13949
1534854261,13325,13947
1534854981,13326,13948
1534855949,13319,13942
1534856663,13330,13950
1534857398,13324,13944
1534858348,13331,13951
1534859060,13329,13950
1534859785,13333,13953
