DateTime,AddedIPs,RemovedIPs
1534541311,66,43
1534542028,65,79
1534542778,47,53
1534543469,45,113
1534544193,116,45
1534544906,48,48
1534545644,61,55
1534546593,48,56
1534547562,56,55
1534548297,45,46
1534549968,78,75
1534550685,58,49
1534551613,59,59
1534552336,41,45
1534553052,43,37
1534553770,40,36
1534554737,43,55
1534555450,58,56
1534556175,62,66
1534556902,59,40
1534557631,47,62
1534558585,70,50
1534559544,36,50
1534560269,49,45
1534560991,42,40
1534561711,38,42
1534562433,31,45
1534563154,48,64
1534563877,71,47
1534564590,40,50
1534565307,33,45
1534566277,50,81
1534567217,73,42
1534567927,39,35
1534568656,27,37
1534569638,51,51
1534570357,37,79
1534571078,79,63
1534571788,59,61
1534572514,44,88
1534573477,87,91
1534574192,90,65
1534574921,81,45
1534575643,48,28
1534576340,32,38
1534577312,55,50
1534578008,33,40
1534578746,42,72
1534579726,91,46
1534580663,49,85
1534581616,88,38
1534582351,58,55
1534583083,41,34
1534583772,43,63
1534584500,72,40
1534585207,43,62
1534585932,63,39
1534586653,50,41
1534587386,50,58
1534588366,58,64
1534589302,53,57
1534590286,64,59
1534590971,62,56
1534591712,55,58
1534592678,49,57
1534593665,72,56
1534594356,43,45
1534595054,41,46
1534595767,41,44
1534596496,49,73
1534597464,75,47
1534598181,58,45
1534598891,43,48
1534599608,50,85
1534600343,89,39
1534601054,53,53
1534601788,38,57
1534602758,59,61
1534603474,56,75
1534604193,79,40
1534604911,43,34
1534605693,34,74
1534606352,57,40
1534607083,58,62
1534608037,64,75
1534609002,66,72
1534609705,55,62
1534610436,71,38
1534611145,47,59
1534611884,52,99
1534612591,98,28
1534613314,38,40
1534614030,37,108
1534614750,95,54
1534615470,44,133
1534616204,136,43
1534617170,67,48
1534617866,38,48
1534618593,47,29
1534619438,54,56
1534620275,43,61
1534620987,54,30
1534621719,37,36
1534622425,22,41
1534623160,47,35
1534623865,30,29
1534624586,22,26
1534625311,31,28
1534626065,28,31
1534626747,32,105
1534627467,89,56
1534628184,43,36
1534628916,40,39
1534629622,41,22
1534630335,26,24
1534631293,32,39
1534632007,34,28
1534632762,31,54
1534633714,55,42
1534634421,38,29
1534635152,31,42
1534635864,42,24
1534636588,35,38
1534637552,37,48
1534638281,45,24
1534638988,27,29
1534640446,44,41
1534641141,30,36
1534641852,38,37
1534642814,34,39
1534643527,43,45
1534644263,32,41
1534644974,42,46
1534645689,50,41
1534646654,32,50
1534647632,44,30
1534648340,29,34
1534649069,35,31
1534649780,23,67
1534650516,52,62
1534651221,65,45
1534651955,45,67
1534652667,58,65
1534653384,72,26
1534654349,34,42
1534655064,32,33
1534655799,33,43
1534656496,46,30
1534657229,30,30
1534658185,37,39
1534659148,43,40
1534660129,51,44
1534661066,44,29
1534662041,36,42
1534662746,44,37
1534663469,37,24
1534664179,29,33
1534664909,24,39
1534665876,47,71
1534666582,64,42
1534667308,42,48
1534668043,59,43
1534668741,51,37
1534669713,32,48
1534670423,44,43
1534671147,45,47
1534671864,44,38
1534672579,39,40
