DateTime,Entries,UniqueIPs
1534264137,5937,5937
1534265428,5888,5888
1534266877,5871,5871
1534268437,5886,5886
1534270106,5864,5864
1534271307,5891,5891
1534272145,5849,5849
1534272985,5899,5899
1534274136,5895,5895
1534275753,5928,5928
1534277432,5941,5941
1534279268,5903,5903
1534280197,5921,5921
1534281272,5948,5948
1534282534,5947,5947
1534284879,5941,5941
1534286550,5911,5911
1534287938,5842,5842
1534288466,5846,5846
1534289328,5856,5856
1534290993,5832,5832
1534292909,5807,5807
1534294233,5733,5733
1534295437,5648,5648
1534296517,5682,5682
1534299270,5646,5646
1534300109,5668,5668
1534301436,5667,5667
1534302875,5664,5664
1534303712,5688,5688
1534305032,5636,5636
1534306486,5646,5646
1534308157,5674,5674
1534309531,5697,5697
1534311301,5661,5661
1534312551,5651,5651
1534313740,5624,5624
1534315356,5618,5618
1534316189,5651,5651
1534317337,5629,5629
1534318950,5584,5584
1534319789,5625,5625
1534320863,5622,5622
1534322475,5615,5615
1534324465,5643,5643
1534325735,5658,5658
1534326984,5685,5685
1534328137,5676,5676
1534329754,5613,5613
1534330594,5650,5650
1534331737,5641,5641
1534332509,5651,5651
1534333661,5666,5666
1534335272,5650,5650
1534336838,5640,5640
1534338863,5643,5643
1534339715,5672,5672
1534341033,5622,5622
1534342477,5615,5615
1534343316,5669,5669
1534344940,5657,5657
1534346908,5633,5633
1534347752,5600,5600
1534348903,5579,5579
1534350036,5610,5610
1534351239,5621,5621
1534352741,5609,5609
1534354876,5605,5605
1534356646,5594,5594
1534357716,5624,5624
1534359332,5595,5595
1534360470,5605,5605
1534362148,5562,5562
1534363805,5575,5575
1534365281,5585,5585
1534366602,5600,5600
1534367676,5579,5579
1534369246,5556,5556
1534371272,5541,5541
1534372964,5535,5535
1534373791,5568,5568
1534374870,5566,5566
1534380637,5455,5455
1534382070,5444,5444
1534383756,5485,5485
1534385452,5541,5541
1534386640,5546,5546
1534388744,5579,5579
1534389291,5602,5602
1534390129,5622,5622
1534390965,5568,5568
1534392868,5574,5574
1534393708,5586,5586
1534394550,5545,5545
1534396479,5504,5504
1534398150,5409,5409
1534399858,5401,5401
1534400081,5409,5409
1534401754,5354,5354
1534403133,5350,5350
1534404509,5379,5379
1534406188,5390,5390
1534407273,5393,5393
1534409136,5467,5467
1534410335,5454,5454
1534411834,5398,5398
1534412547,5404,5404
1534414232,5339,5339
1534415312,5357,5357
1534416631,5284,5284
1534417835,5261,5261
1534419464,5188,5188
1534419755,5158,5158
1534422039,5150,5150
1534423246,5109,5109
1534424734,5040,5040
1534426526,4979,4979
1534427784,4970,4970
1534428871,4959,4959
1534429712,4976,4976
1534430546,4930,4930
1534431385,4989,4989
1534432477,5011,5011
1534434156,4987,4987
1534434985,5058,5058
1534436110,5147,5147
1534436906,5160,5160
1534437744,5137,5137
1534439117,5127,5127
1534439676,5142,5142
1534440534,5175,5175
1534442190,5197,5197
1534443334,5139,5139
1534444945,5099,5099
1534446113,5074,5074
1534446876,5117,5117
1534447711,5139,5139
1534449384,5094,5094
1534450533,5086,5086
1534451311,5111,5111
1534452929,5075,5075
1534454080,5129,5129
1534455751,5140,5140
1534457667,5156,5156
1534458507,5160,5160
1534460734,5126,5126
1534462954,5073,5073
1534464885,5081,5081
1534465725,5087,5087
1534467444,5082,5082
1534469323,5095,5095
1534470988,5080,5080
1534472142,5091,5091
1534473692,5096,5096
1534475142,5119,5119
1534476470,5130,5130
1534478196,5073,5073
1534479344,5029,5029
1534480844,5003,5003
1534482291,5007,5007
1534483714,5043,5043
1534485404,5032,5032
1534486464,5004,5004
1534488154,5003,5003
1534488985,5007,5007
1534490071,5004,5004
1534491301,4974,4974
1534491754,4966,4966
1534493150,4949,4949
1534494509,4969,4969
1534495361,4919,4919
1534496565,4891,4891
1534497932,4915,4915
1534498955,4878,4878
1534500587,4838,4838
1534501715,4853,4853
1534502546,4803,4803
1534503395,4821,4821
1534504467,4813,4813
1534505762,4826,4826
1534506154,4817,4817
