DateTime,AddedIPs,RemovedIPs
1534090545,1,1
1534091759,1,1
1534095330,0,1
1534096598,2,0
1534098520,0,1
1534099348,1,1
1534102241,1,1
1534103788,1,2
1534110147,2,1
1534111845,2,1
1534113356,0,3
1534119273,1,0
1534122459,1,2
1534125405,1,0
1534126480,1,1
1534128231,2,1
1534130077,0,1
1534131784,1,1
1534136191,1,2
1534137345,0,1
1534138958,2,1
1534140646,3,0
1534141717,0,1
1534144472,0,1
1534146335,2,1
1534148067,0,2
1534149748,0,3
1534152334,1,0
1534153822,1,1
1534155041,0,1
1534156952,1,1
1534157802,3,1
1534158874,4,1
1534161396,3,3
1534162537,0,1
1534164071,1,2
1534165493,1,1
1534166927,1,1
1534168195,1,0
1534169437,1,2
1534170515,0,1
1534172194,1,1
1534174537,1,1
1534175669,0,1
1534177723,2,3
1534178546,1,1
1534179932,1,6
1534182076,2,0
1534184134,2,1
1534185644,0,1
1534187741,0,1
1534189532,1,0
1534191272,1,0
1534192120,1,1
1534193801,0,1
1534194938,2,1
1534196546,0,2
1534198240,4,1
1534200078,2,1
1534201007,0,1
1534203349,1,2
1534204597,2,1
1534206044,2,1
1534208583,1,0
1534210122,1,1
1534211258,0,2
1534212640,2,1
1534214140,2,1
1534215944,2,2
1534217315,2,1
1534218936,1,1
1534220069,0,1
1534222595,3,1
1534228113,1,0
1534229435,0,1
1534231845,1,0
1534233272,1,0
1534234539,1,2
1534236161,0,4
1534236997,0,2
1534238145,0,1
1534239675,1,0
1534241445,0,1
1534244733,2,3
1534246127,0,1
1534247786,2,2
1534250057,2,2
1534251421,2,1
1534254160,1,2
1534255840,4,3
1534256909,1,0
1534257758,0,1
1534259666,4,1
1534262195,1,1
1534265429,0,1
1534266879,0,1
1534270111,2,4
1534271309,2,1
1534272147,2,0
1534274138,0,1
1534279281,1,0
1534281273,2,3
1534282537,3,2
1534284880,0,2
1534286551,0,3
1534287940,0,1
1534288468,3,0
1534290995,3,0
1534292913,4,5
1534294234,3,4
1534298612,0,2
1534306487,1,0
1534309533,0,1
1534311308,3,0
1534312553,0,1
1534313742,1,1
1534315358,3,1
1534318951,0,2
1534319790,0,1
1534322477,0,2
1534325737,1,0
1534328140,3,0
1534329755,0,2
1534331739,0,2
1534333671,0,1
1534338341,0,1
1534342478,0,1
1534344943,0,1
1534347754,1,1
1534351241,1,1
1534354877,0,2
1534357719,1,1
1534359333,1,2
1534363819,1,0
1534366604,1,1
1534367678,1,1
1534369247,1,1
1534371274,2,2
1534372965,2,0
1534373794,3,0
1534374872,1,1
1534380640,6,5
1534382072,1,3
1534383758,1,2
1534385452,0,1
1534386650,0,2
1534388751,1,2
1534389293,2,0
1534390967,2,0
1534392870,1,2
1534393711,0,2
1534394551,2,1
1534398152,1,0
1534399858,0,1
1534401756,1,0
1534403134,1,0
1534406190,2,0
1534407275,0,1
1534409138,0,1
1534410336,1,0
1534411836,0,2
1534414233,0,1
1534415314,1,1
1534416633,1,0
1534417836,1,1
1534421409,1,0
1534422615,1,0
1534424735,2,3
1534430548,2,1
1534431387,1,0
1534432479,0,2
1534434158,1,0
1534434986,1,0
1534436120,0,1
1534436910,2,0
1534437745,1,1
1534439677,1,0
1534440541,0,1
1534442192,0,1
1534443336,0,1
1534444947,1,1
1534446115,0,1
1534449386,0,2
1534450534,1,0
1534452931,1,3
1534454082,1,0
1534457668,1,0
1534460736,0,1
1534462955,1,5
1534464887,0,1
1534467446,0,1
1534469327,2,0
1534470989,0,1
1534472144,2,1
1534473694,0,1
1534475145,0,1
1534476472,1,0
1534482293,1,0
1534483716,1,0
1534486466,0,3
1534488155,1,1
1534490073,0,1
1534491303,1,0
1534493151,1,0
1534494511,1,0
1534495362,0,1
1534496567,0,1
1534497934,2,1
1534498957,1,2
1534500589,0,1
1534503397,1,0
1534505770,1,0
1534506156,0,1
1534510589,3,1
1534511747,1,0
1534513243,2,0
1534515280,1,2
1534516961,2,0
1534518339,3,3
1534518876,1,0
1534522480,0,5
1534524157,1,0
1534526074,0,1
1534528539,1,1
1534530821,1,2
1534533273,1,0
1534534645,1,0
1534535758,1,1
1534537711,1,0
1534539033,1,1
1534540237,1,0
1534541451,1,1
1534542722,1,2
1534543847,0,1
1534545071,2,1
1534546291,1,1
1534547447,2,0
1534548946,1,0
1534550146,1,1
1534551350,1,2
1534552963,0,2
1534555725,0,1
1534557391,3,0
1534558478,2,1
1534559740,1,0
1534561016,0,2
1534562151,0,3
1534563698,2,1
1534564599,0,1
1534565740,0,3
1534567249,1,1
1534568197,1,0
1534570953,0,1
1534573712,1,0
1534576539,1,0
1534578148,3,1
1534579423,0,1
1534580077,1,0
1534581749,3,0
