DateTime,AddedIPs,RemovedIPs
1534247774,30,27
1534248918,17,18
1534250036,21,33
1534251398,34,3
1534252458,14,36
1534254141,24,32
1534256056,19,19
1534256896,17,2
1534257737,17,33
1534258910,19,41
1534259655,8,2
1534260500,6,0
1534262178,41,35
1534263319,32,35
1534264122,15,2
1534265416,17,22
1534266866,27,44
1534268422,25,35
1534270083,32,34
1534272975,47,44
1534274120,18,23
1534275742,19,34
1534277418,27,23
1534280181,37,39
1534281257,20,18
1534282518,40,43
1534284859,89,49
1534286536,23,28
1534289303,47,17
1534290977,20,14
1534292897,34,21
1534294221,26,18
1534295423,21,10
1534296499,11,0
1534299258,39,41
1534300096,12,0
1534301424,39,26
1534302859,24,12
1534303697,11,1
1534305021,26,28
1534306467,25,9
1534308146,34,42
1534309518,18,34
1534311290,27,29
1534312526,29,8
1534313721,16,14
1534315342,26,24
1534316174,8,3
1534317317,17,13
1534318936,24,25
1534319779,10,0
1534320854,16,14
1534322422,25,25
1534323661,17,18
1534324454,17,2
1534325724,21,24
1534326974,30,2
1534328116,14,31
1534329740,30,30
1534330576,13,3
1534331722,20,18
1534332497,10,1
1534333631,9,20
1534335257,16,31
1534336822,23,18
1534338853,39,26
1534339698,17,1
1534341022,19,67
1534342466,30,13
1534343301,12,0
1534344921,34,57
1534346897,43,22
1534347739,9,55
1534348890,27,32
1534350024,19,1
1534351222,20,31
1534352722,21,38
1534354823,38,28
1534356634,54,39
1534357699,30,2
1534359321,78,25
1534360456,16,35
1534362136,41,32
1534363256,26,34
1534364422,20,1
1534365623,88,54
1534366581,29,6
1534367661,30,32
1534369224,54,35
1534371258,44,36
1534372945,36,39
1534373778,17,5
1534374859,28,24
1534380620,118,139
1534382058,34,15
1534383741,28,47
1534385423,23,21
1534386627,13,30
1534388720,33,47
1534389266,9,2
1534390111,17,0
1534390949,13,51
1534392856,44,21
1534393696,9,4
1534394538,12,31
1534396462,41,30
1534398138,45,56
1534400060,38,7
1534401738,25,29
1534403118,15,35
1534404496,20,4
1534406179,22,33
1534407259,14,42
1534409117,31,73
1534410324,15,14
1534412536,49,26
1534414223,62,28
1534415297,37,2
1534416618,36,30
1534417818,26,19
1534419740,64,42
1534420852,14,27
1534422024,20,1
1534423228,36,23
1534424720,36,26
1534426515,47,28
1534427773,23,12
1534428857,19,24
1534429696,24,2
1534430535,19,30
1534431375,18,1
1534432456,25,39
1534434142,44,45
1534434975,14,4
1534436422,45,21
1534436895,12,2
1534437735,12,29
1534438858,27,37
1534440496,31,2
1534442176,35,34
1534443318,24,30
1534444935,26,27
1534446056,14,12
1534446861,10,0
1534447698,15,0
1534449374,28,45
1534450517,16,14
1534451298,10,0
1534452918,30,53
1534454059,15,26
1534455738,26,58
1534457655,61,40
1534458496,9,1
1534460719,33,42
1534462939,42,38
1534464863,33,21
1534465704,8,0
1534467432,30,26
1534469300,34,25
1534470978,21,36
1534472122,13,23
1534473627,26,29
1534475120,12,49
1534476458,29,1
1534478184,31,24
1534479324,11,28
1534480824,42,30
1534482274,10,39
1534483703,28,2
1534485380,21,32
1534486454,25,15
1534488139,37,37
1534488975,12,0
1534490058,46,20
1534491735,31,36
1534493139,17,20
1534494495,18,2
1534495343,7,32
1534496550,14,50
1534497919,25,4
1534498936,9,37
1534500577,33,43
1534503381,48,49
1534504456,23,25
1534505752,19,57
1534506137,14,10
1534507249,13,25
1534508057,12,1
1534508903,13,1
1534510576,25,31
1534511730,21,21
1534513231,18,45
1534515260,54,48
1534516945,23,31
1534518323,30,29
1534518859,10,1
1534520535,34,48
1534521380,21,4
1534522461,30,15
1534524139,17,48
1534526058,61,22
1534526899,24,0
1534528518,33,78
1534529656,20,19
1534530800,19,16
1534533257,69,44
1534534616,64,28
1534535747,33,1
1534537697,72,76
1534539009,42,56
1534540221,29,33
1534541427,30,29
1534542708,28,13
1534543826,47,22
1534545052,20,37
1534546278,37,14
1534547419,56,16
1534548928,18,29
1534550133,32,5
1534551328,22,70
1534552945,38,50
1534554858,23,16
1534555703,12,4
1534557377,34,26
1534558459,21,24
1534559720,23,26
1534560986,16,2
1534562123,24,25
1534563627,14,47
1534564583,24,6
1534565720,28,29
1534567226,14,36
1534568176,5,4
1534569328,42,24
1534570939,28,37
1534573697,47,31
1534575316,27,28
1534576519,35,23
1534577304,12,0
1534578136,17,36
1534579391,16,26
1534580059,7,2
1534581736,19,45
1534582576,12,1
1534583658,16,33
1534584498,13,1
1534586204,22,44
1534587319,18,40
1534588823,39,49
1534590325,34,44
1534593376,54,47
1534594465,17,21
1534596138,25,44
1534596988,13,4
1534598056,15,37
1534598897,13,3
1534599738,13,43
1534601197,27,25
1534603340,44,55
1534604724,34,37
1534606103,40,5
1534609222,72,104
1534610538,28,39
1534611922,30,27
1534613299,74,4
1534614977,53,49
1534616118,25,24
1534617625,30,44
1534619658,45,33
1534620917,16,27
1534623261,72,28
1534624101,18,1
1534625777,38,29
1534626053,6,45
1534627696,42,5
1534628537,23,38
1534630457,39,43
1534632087,32,45
1534633528,49,23
1534634058,21,0
1534635741,33,34
1534637062,25,32
1534638499,30,3
1534640181,56,32
1534641259,23,20
1534642824,36,26
1534643785,27,1
1534645699,35,27
1534647926,31,66
1534648460,12,1
1534649720,25,25
1534651832,21,42
1534653041,28,35
1534653738,18,0
1534655061,28,21
1534656317,25,3
1534658177,52,57
1534659318,32,20
1534660097,20,1
1534661782,53,47
1534662856,26,30
1534664075,34,29
1534666456,37,32
1534667303,19,3
1534668487,27,39
1534669757,28,19
1534670897,22,2
1534672374,27,55
1534673655,40,23
1534675230,27,30
1534678098,87,30
1534679725,34,33
1534680921,19,13
1534682446,25,43
1534684456,35,31
1534685720,25,65
1534687823,52,32
1534688895,17,2
1534690579,30,34
1534691746,25,37
1534693336,92,48
1534694176,40,1
1534695319,31,43
1534696821,40,45
1534698318,36,32
1534699696,26,1
1534701016,51,49
1534702217,22,18
1534704139,38,29
1534705522,38,33
1534706920,77,1
1534708582,79,37
1534709722,74,20
1534711229,102,31
1534712722,120,56
1534714102,93,4
1534716856,161,73
1534718549,47,65
1534719658,20,22
1534720470,17,3
1534722138,68,39
1534723450,30,13
1534724057,21,2
1534725187,24,35
1534727721,53,30
1534729225,25,33
1534730190,18,15
1534731263,52,13
1534732834,28,25
1534733782,19,4
1534734860,20,28
1534735988,18,25
1534737392,15,0
1534738521,16,23
1534740148,35,62
1534741524,28,24
1534742900,30,2
1534744579,37,47
1534745718,43,25
1534747219,38,45
1534749264,48,33
1534750516,32,17
1534751776,30,5
1534752920,20,23
1534754116,23,23
1534754540,6,1
1534756454,34,29
1534757296,14,5
1534758785,18,35
1534760900,38,35
1534762582,50,46
1534763720,64,22
1534764496,14,1
1534765337,23,33
1534766898,39,22
1534768006,18,2
1534769776,33,30
1534770922,27,25
1534772421,33,29
1534774180,32,29
1534775424,29,27
1534776580,26,3
1534778056,33,40
1534779316,29,41
1534781658,69,38
1534783057,53,98
1534784723,91,51
1534786095,83,3
1534788053,87,76
1534788862,52,3
