DateTime,Entries,UniqueIPs
1534247774,4443,4443
1534248918,4442,4442
1534250036,4430,4430
1534251398,4461,4461
1534252458,4439,4439
1534254141,4431,4431
1534256056,4431,4431
1534256896,4446,4446
1534257737,4430,4430
1534258910,4408,4408
1534259655,4414,4414
1534260500,4420,4420
1534262178,4426,4426
1534263319,4423,4423
1534264122,4436,4436
1534265416,4431,4431
1534266866,4414,4414
1534268422,4404,4404
1534270083,4402,4402
1534272975,4405,4405
1534274120,4400,4400
1534275742,4385,4385
1534277418,4389,4389
1534280181,4387,4387
1534281257,4389,4389
1534282518,4386,4386
1534284859,4426,4426
1534286536,4421,4421
1534289303,4451,4451
1534290977,4457,4457
1534292897,4470,4470
1534294221,4478,4478
1534295423,4489,4489
1534296499,4500,4500
1534299258,4498,4498
1534300096,4510,4510
1534301424,4523,4523
1534302859,4535,4535
1534303697,4545,4545
1534305021,4543,4543
1534306467,4559,4559
1534308146,4551,4551
1534309518,4535,4535
1534311290,4533,4533
1534312526,4554,4554
1534313721,4556,4556
1534315342,4558,4558
1534316174,4563,4563
1534317317,4567,4567
1534318936,4566,4566
1534319779,4576,4576
1534320854,4578,4578
1534322422,4578,4578
1534323661,4577,4577
1534324454,4592,4592
1534325724,4589,4589
1534326974,4617,4617
1534328116,4600,4600
1534329740,4600,4600
1534330576,4610,4610
1534331722,4612,4612
1534332497,4621,4621
1534333631,4610,4610
1534335257,4595,4595
1534336822,4600,4600
1534338853,4613,4613
1534339698,4629,4629
1534341022,4581,4581
1534342466,4598,4598
1534343301,4610,4610
1534344921,4587,4587
1534346897,4608,4608
1534347739,4562,4562
1534348890,4557,4557
1534350024,4575,4575
1534351222,4564,4564
1534352722,4547,4547
1534354823,4557,4557
1534356634,4572,4572
1534357699,4600,4600
1534359321,4653,4653
1534360456,4634,4634
1534362136,4643,4643
1534363256,4635,4635
1534364422,4654,4654
1534365623,4688,4688
1534366581,4711,4711
1534367661,4709,4709
1534369224,4728,4728
1534371258,4736,4736
1534372945,4733,4733
1534373778,4745,4745
1534374859,4749,4749
1534380620,4728,4728
1534382058,4747,4747
1534383741,4728,4728
1534385423,4730,4730
1534386627,4713,4713
1534388720,4699,4699
1534389266,4706,4706
1534390111,4723,4723
1534390949,4685,4685
1534392856,4708,4708
1534393696,4713,4713
1534394538,4694,4694
1534396462,4705,4705
1534398138,4694,4694
1534400060,4725,4725
1534401738,4721,4721
1534403118,4701,4701
1534404496,4717,4717
1534406179,4706,4706
1534407259,4678,4678
1534409117,4636,4636
1534410324,4637,4637
1534412536,4660,4660
1534414223,4694,4694
1534415297,4729,4729
1534416618,4735,4735
1534417818,4742,4742
1534419740,4764,4764
1534420852,4751,4751
1534422024,4770,4770
1534423228,4783,4783
1534424720,4793,4793
1534426515,4812,4812
1534427773,4823,4823
1534428857,4818,4818
1534429696,4840,4840
1534430535,4829,4829
1534431375,4846,4846
1534432456,4832,4832
1534434142,4831,4831
1534434975,4841,4841
1534436422,4865,4865
1534436895,4875,4875
1534437735,4858,4858
1534438858,4848,4848
1534440496,4877,4877
1534442176,4878,4878
1534443318,4872,4872
1534444935,4871,4871
1534446056,4873,4873
1534446861,4883,4883
1534447698,4898,4898
1534449374,4881,4881
1534450517,4883,4883
1534451298,4893,4893
1534452918,4870,4870
1534454059,4859,4859
1534455738,4827,4827
1534457655,4848,4848
1534458496,4856,4856
1534460719,4847,4847
1534462939,4851,4851
1534464863,4863,4863
1534465704,4871,4871
1534467432,4875,4875
1534469300,4884,4884
1534470978,4869,4869
1534472122,4859,4859
1534473627,4856,4856
1534475120,4819,4819
1534476458,4847,4847
1534478184,4854,4854
1534479324,4837,4837
1534480824,4849,4849
1534482274,4820,4820
1534483703,4846,4846
1534485380,4835,4835
1534486454,4845,4845
1534488139,4845,4845
1534488975,4857,4857
1534490058,4883,4883
1534491735,4878,4878
1534493139,4875,4875
1534494495,4891,4891
1534495343,4866,4866
1534496550,4830,4830
1534497919,4851,4851
1534498936,4823,4823
1534500577,4813,4813
1534503381,4812,4812
1534504456,4810,4810
1534505752,4772,4772
1534506137,4776,4776
1534507249,4764,4764
1534508057,4775,4775
1534508903,4787,4787
1534510576,4781,4781
1534511730,4781,4781
1534513231,4754,4754
1534515260,4760,4760
1534516945,4752,4752
1534518323,4753,4753
1534518859,4762,4762
1534520535,4748,4748
1534521380,4765,4765
1534522461,4780,4780
1534524139,4749,4749
1534526058,4788,4788
1534526899,4812,4812
1534528518,4767,4767
1534529656,4768,4768
1534530800,4771,4771
1534533257,4796,4796
1534534616,4832,4832
1534535747,4864,4864
1534537697,4860,4860
1534539009,4846,4846
1534540221,4842,4842
1534541427,4843,4843
1534542708,4858,4858
1534543826,4883,4883
1534545052,4866,4866
1534546278,4889,4889
1534547419,4929,4929
1534548928,4918,4918
1534550133,4945,4945
1534551328,4897,4897
1534552945,4885,4885
1534554858,4892,4892
1534555703,4900,4900
1534557377,4908,4908
1534558459,4905,4905
1534559720,4902,4902
1534560986,4916,4916
1534562123,4915,4915
1534563627,4882,4882
1534564583,4900,4900
1534565720,4899,4899
1534567226,4877,4877
1534568176,4878,4878
1534569328,4896,4896
1534570939,4887,4887
1534573697,4903,4903
1534575316,4902,4902
1534576519,4914,4914
1534577304,4926,4926
1534578136,4907,4907
1534579391,4897,4897
1534580059,4902,4902
1534581736,4876,4876
1534582576,4887,4887
1534583658,4870,4870
1534584498,4882,4882
1534586204,4860,4860
1534587319,4838,4838
1534588823,4828,4828
1534590325,4818,4818
1534593376,4825,4825
1534594465,4821,4821
1534596138,4802,4802
1534596988,4811,4811
1534598056,4789,4789
1534598897,4799,4799
1534599738,4769,4769
