DateTime,AddedIPs,RemovedIPs
1533838343,54,43
1533840265,60,57
1533842177,49,60
1533844106,36,42
1533846012,24,38
1533847945,48,26
1533849857,55,48
1533853691,50,56
1533855642,15,50
1533857540,16,15
1533859474,24,14
1533862125,36,20
1533864018,38,42
1533865960,52,37
1533867866,54,52
1533869774,38,53
1533871690,48,37
1533873645,55,46
1533875552,20,59
1533877471,50,20
1533879386,29,48
1533881312,36,29
1533885160,47,34
1533887055,47,48
1533889003,29,52
1533890896,63,30
1533892831,30,57
1533894749,36,34
1533896659,56,33
1533898584,60,58
1533900493,54,56
1533902457,31,60
1533904356,22,31
1533906271,26,22
1533912021,34,27
1533913952,27,32
1533915862,57,25
1533917781,45,60
1533919708,52,43
1533923550,31,54
1533927389,26,30
1533929296,62,28
1533931251,27,61
1533933152,19,23
1533935062,24,20
1533936971,33,24
1533938909,21,30
1533940814,39,21
1533942758,36,42
1533944663,40,37
1533946576,47,40
1533950441,30,44
1533952344,52,34
1533954285,34,48
1533956172,43,34
1533958097,48,43
1533960041,51,50
1533961949,37,47
1533963856,38,39
1533965779,44,38
1533967708,44,41
1533969622,38,45
1533971554,51,39
1533973459,42,50
1533975376,35,46
1533977310,57,34
1533979218,26,59
1533981136,28,24
1533983066,67,33
1533984983,33,68
1533986890,50,29
1533988873,48,51
1533990751,44,44
1533992671,30,43
1533994597,36,35
1533996500,26,35
1533998433,31,27
1534000343,42,33
1534002268,49,39
1534004175,47,51
1534006344,51,46
1534008254,47,48
1534010181,53,50
1534012355,41,49
1534014261,44,44
1534016171,58,43
1534020028,35,57
1534021939,48,32
1534025794,49,51
1534027698,46,47
1534029628,47,48
1534031536,50,47
1534033709,59,53
1534035640,46,56
1534037550,56,46
1534039463,54,54
1534041393,48,55
1534043315,53,41
1534045214,43,59
1534047152,38,42
1534049056,52,40
1534050994,45,51
1534052914,54,46
1534054834,50,52
1534056751,50,52
1534058670,42,51
1534062522,54,39
1534064456,51,57
1534066350,41,48
1534068270,54,45
1534070197,67,56
1534072112,51,67
1534074026,54,52
1534076011,52,51
1534079786,55,53
1534085776,47,54
1534087690,49,49
1534089878,52,47
1534091772,51,51
1534093713,48,52
1534095616,50,47
1534097559,34,48
1534099460,55,41
1534101379,37,54
1534105217,27,34
1534107141,19,29
1534109050,46,18
1534110967,42,46
1534112902,38,42
1534114826,51,37
1534116735,47,50
1534118669,50,44
