DateTime,Entries,UniqueIPs
1534444571,86102,86102
1534445542,86122,86122
1534446511,85245,85245
1534447460,85240,85240
1534448412,85248,85248
1534449391,85250,85250
1534450366,85271,85271
1534451298,85285,85285
1534452255,85285,85285
1534453238,85259,85259
1534454188,85244,85244
1534455153,85201,85201
1534456113,85170,85170
1534457058,85200,85200
1534458021,85272,85272
1534458996,85272,85272
1534459935,85297,85297
1534460897,85306,85306
1534461872,85307,85307
1534463810,85274,85274
1534464733,85267,85267
1534465703,85243,85243
1534466653,85286,85286
1534467647,85324,85324
1534468678,85328,85328
1534469795,85276,85276
1534470753,85345,85345
1534471940,85289,85289
1534472892,85280,85280
1534473855,85335,85335
1534474821,85350,85350
1534475785,85336,85336
1534476888,85357,85357
1534477956,85361,85361
1534478895,85358,85358
1534479871,85383,85383
1534481055,85404,85404
1534482024,85412,85412
1534482982,85430,85430
1534483955,85460,85460
1534484915,85464,85464
1534485861,85491,85491
1534486815,85473,85473
1534487788,85477,85477
1534488758,85481,85481
1534489719,85446,85446
1534490658,85449,85449
1534491615,85456,85456
1534492587,85431,85431
1534493535,85413,85413
1534494498,85423,85423
1534495472,85475,85475
1534496420,85499,85499
1534497376,85502,85502
1534498359,85491,85491
1534499297,85462,85462
1534500266,85464,85464
1534501211,85456,85456
1534502194,85438,85438
1534503133,85404,85404
1534504102,85418,85418
1534505054,85425,85425
1534506020,85438,85438
1534506987,85419,85419
1534507961,85435,85435
1534508898,85431,85431
1534509857,85437,85437
1534510821,85462,85462
1534511790,85458,85458
1534512739,85463,85463
1534513715,85487,85487
1534514659,85514,85514
1534515620,85537,85537
1534516585,85553,85553
1534517540,85562,85562
1534518525,85569,85569
1534519718,85509,85509
1534520652,85572,85572
1534521629,85532,85532
1534522601,85542,85542
1534523547,85557,85557
1534524494,85629,85629
1534525489,85594,85594
1534526409,85644,85644
1534527372,85657,85657
1534528355,85673,85673
1534529302,85679,85679
1534530254,85668,85668
1534531219,85649,85649
1534532299,85655,85655
1534533395,85287,85287
1534534336,85308,85308
1534535295,85334,85334
1534536285,85331,85331
1534537209,85351,85351
1534538178,85346,85346
1534539156,85370,85370
1534540340,85352,85352
1534541319,85309,85309
1534542253,85345,85345
1534543224,85294,85294
1534544200,85290,85290
1534545138,85337,85337
1534546094,85293,85293
1534547062,85264,85264
1534548009,85253,85253
1534549975,85195,85195
1534551156,85215,85215
1534552094,85210,85210
1534553061,85223,85223
1534554283,85256,85256
1534555213,85256,85256
1534556183,85242,85242
1534557150,85240,85240
1534558121,85251,85251
1534559072,85238,85238
1534560017,85246,85246
1534560998,85234,85234
1534561936,85244,85244
1534562892,85237,85237
1534563890,85219,85219
1534564838,85229,85229
1534565806,85241,85241
1534566758,85223,85223
1534567699,85236,85236
1534568665,85232,85232
1534569645,85239,85239
1534570573,85252,85252
1534571534,85274,85274
1534572521,85270,85270
1534573484,85262,85262
1534574412,85272,85272
1534575376,85258,85258
1534576348,85247,85247
1534577321,85253,85253
1534578276,85230,85230
1534579223,85242,85242
1534580205,85224,85224
1534581160,85247,85247
1534582104,85269,85269
1534583092,85252,85252
1534584009,85238,85238
1534584994,85238,85238
1534585939,85229,85229
1534586921,85206,85206
1534587853,85207,85207
1534588840,85200,85200
1534589797,85199,85199
1534590763,85226,85226
1534591721,85203,85203
1534592686,85210,85210
1534593672,85191,85191
1534594583,85185,85185
1534595558,85210,85210
1534596504,85215,85215
1534597471,85221,85221
1534598437,85243,85243
1534599371,85239,85239
1534600353,85206,85206
1534601315,85208,85208
1534602258,85202,85202
1534603214,85187,85187
1534604201,85174,85174
1534605135,85146,85146
1534606094,85152,85152
1534607091,85169,85169
1534608045,85197,85197
1534609011,85228,85228
1534609941,85219,85219
1534610893,85208,85208
1534611893,85208,85208
1534612812,85203,85203
1534613779,85210,85210
1534614757,85206,85206
1534615693,85298,85298
1534616670,85252,85252
1534617622,85231,85231
1534618600,85245,85245
1534619780,85247,85247
1534620737,85266,85266
1534621728,85277,85277
1534622661,85259,85259
1534623616,85268,85268
1534624594,85335,85335
1534625532,85371,85371
1534626500,85405,85405
1534627474,85384,85384
1534628410,85386,85386
1534629369,85382,85382
1534630343,85390,85390
1534631300,85389,85389
1534632253,85384,85384
1534633219,85375,85375
1534634177,85363,85363
1534635159,85413,85413
1534636095,85385,85385
1534637062,85392,85392
1534638010,85463,85463
1534638995,85468,85468
1534640454,85449,85449
1534641377,85481,85481
1534642356,85467,85467
1534643294,85463,85463
1534644270,85492,85492
1534645208,85487,85487
1534646192,85509,85509
1534647133,85499,85499
1534648097,85495,85495
1534649076,85452,85452
1534650041,85467,85467
1534650974,85456,85456
1534651963,85459,85459
1534652889,85441,85441
1534653859,85442,85442
1534654816,85421,85421
1534655808,85454,85454
1534656737,85445,85445
1534657701,85420,85420
1534658659,85389,85389
1534659632,85364,85364
1534660582,85353,85353
1534661538,85357,85357
1534662498,85358,85358
1534663476,85343,85343
1534664411,85324,85324
1534665376,85309,85309
1534666337,85280,85280
1534667316,85288,85288
1534668254,85291,85291
1534669237,85270,85270
1534670177,85270,85270
1534671156,85273,85273
1534672093,85240,85240
1534673065,85235,85235
1534674009,85236,85236
1534674991,85215,85215
1534675932,85227,85227
1534676903,85222,85222
1534677852,85212,85212
1534678816,85214,85214
1534679788,85215,85215
1534680749,85201,85201
1534681693,85186,85186
1534682674,85197,85197
1534683624,85200,85200
1534684582,85202,85202
1534685537,85202,85202
1534686500,85206,85206
1534687476,85199,85199
1534688414,85184,85184
1534689371,85204,85204
1534690352,85193,85193
1534691293,85176,85176
1534692256,85193,85193
1534693213,85188,85188
1534694453,85175,85175
1534695376,85179,85179
1534696349,85164,85164
1534697303,85155,85155
1534698266,85136,85136
1534699209,85119,85119
1534700192,85118,85118
1534701133,85112,85112
1534702097,85092,85092
1534703091,85079,85079
1534704258,85069,85069
1534705218,85055,85055
1534706204,85029,85029
1534707145,85004,85004
1534708096,85012,85012
1534709068,84980,84980
1534710017,84956,84956
1534710982,85014,85014
1534711940,85041,85041
1534712904,85035,85035
1534713858,85037,85037
1534714813,85034,85034
1534715796,85012,85012
1534716743,85020,85020
1534717696,84991,84991
1534718670,84953,84953
1534719627,84953,84953
1534720576,84946,84946
1534721555,84898,84898
1534723515,84796,84796
1534724651,84782,84782
1534725616,84675,84675
1534726584,84736,84736
1534727544,84633,84633
1534728489,84683,84683
1534729474,84635,84635
1534730437,84648,84648
1534731423,84624,84624
1534732336,84680,84680
1534733296,84684,84684
1534734277,84600,84600
1534735239,84584,84584
1534736171,84641,84641
1534737147,84542,84542
1534738108,84549,84549
1534739066,84602,84602
1534740010,84609,84609
1534740985,84499,84499
1534741934,84549,84549
1534742892,84571,84571
1534743871,84494,84494
1534744830,84540,84540
1534745775,84636,84636
1534746766,84558,84558
1534747695,84538,84538
1534748662,84588,84588
1534749627,84497,84497
1534750582,84548,84548
1534751532,84547,84547
1534752511,84451,84451
1534753459,84507,84507
1534754427,84421,84421
1534755369,84488,84488
1534756349,84471,84471
1534757290,84474,84474
1534758273,84458,84458
1534759255,84468,84468
1534760185,84461,84461
1534761136,84443,84443
1534762112,84464,84464
1534763056,84481,84481
1534764027,84494,84494
1534764991,84486,84486
1534765959,84560,84560
1534766893,84576,84576
1534767859,84581,84581
1534768813,84548,84548
1534769799,84574,84574
1534770742,84573,84573
1534771695,84548,84548
1534774141,84437,84437
1534775052,84422,84422
1534776032,84404,84404
1534776987,84436,84436
1534777964,84376,84376
1534778891,84354,84354
1534779859,84318,84318
1534780821,84324,84324
1534782059,84357,84357
1534782975,84370,84370
1534783948,84385,84385
1534784892,84389,84389
1534785867,84424,84424
1534786815,84430,84430
1534787783,84441,84441
1534788738,84493,84493
1534789697,84506,84506
1534790652,84555,84555
1534791650,84613,84613
1534792828,84314,84314
1534793775,84411,84411
1534794728,84445,84445
1534795702,84405,84405
1534796659,84481,84481
1534797611,84574,84574
1534798581,84630,84630
1534799543,84583,84583
1534800493,84682,84682
1534801465,84711,84711
1534802425,84709,84709
1534803393,84670,84670
1534804334,84779,84779
1534805292,84750,84750
1534806280,84666,84666
1534807210,84761,84761
1534808172,84798,84798
1534809148,84794,84794
1534810097,84851,84851
1534811066,84900,84900
1534812282,84968,84968
1534813217,84999,84999
1534814181,85057,85057
1534815153,85082,85082
1534816099,85116,85116
1534817163,85144,85144
1534818273,85167,85167
1534819211,85181,85181
1534820169,85234,85234
1534821150,85259,85259
1534822098,85271,85271
1534823052,85291,85291
1534824016,85294,85294
1534824989,85310,85310
1534825939,85314,85314
1534826890,85347,85347
1534827875,85370,85370
1534828840,85378,85378
1534829774,85392,85392
1534830737,85393,85393
1534831693,85405,85405
1534832688,85388,85388
1534833615,85396,85396
1534834574,85408,85408
1534835562,85397,85397
1534836500,85414,85414
1534837457,85409,85409
1534838436,85388,85388
1534839377,85313,85313
1534840361,85222,85222
1534841299,85076,85076
1534842265,84986,84986
1534843212,84897,84897
1534844192,84819,84819
1534845157,84725,84725
1534846098,84622,84622
1534847057,84544,84544
1534848019,84485,84485
1534848993,84426,84426
1534849939,84353,84353
1534850901,84301,84301
1534851881,84232,84232
1534853093,84155,84155
1534854012,84160,84160
1534854988,84156,84156
1534855959,84217,84217
1534856900,84323,84323
1534857858,84525,84525
1534858815,84683,84683
1534859792,84789,84789
1534860743,84936,84936
1534861701,84991,84991
1534862675,85092,85092
1534863645,85169,85169
1534864582,85212,85212
1534865543,85203,85203
1534866512,85201,85201
1534867492,85222,85222
1534868418,85220,85220
1534869388,85208,85208
1534870332,85227,85227
1534871311,85222,85222
1534872272,85218,85218
1534873215,85211,85211
1534874180,85219,85219
1534875148,85227,85227
1534876098,85220,85220
1534877067,85208,85208
1534878027,85216,85216
1534878994,85252,85252
1534879936,85277,85277
1534880920,85328,85328
1534881877,85335,85335
1534882834,85361,85361
1534883785,85429,85429
1534884739,85496,85496
1534885693,85543,85543
1534886697,85570,85570
1534887616,85595,85595
1534888574,85628,85628
1534889563,85603,85603
1534890521,85612,85612
1534891463,85602,85602
1534892442,85558,85558
1534893384,85573,85573
1534894345,85573,85573
1534895568,85612,85612
1534896736,85621,85621
1534897691,85645,85645
1534898657,85649,85649
1534899626,85642,85642
1534900585,85721,85721
1534901535,85765,85765
1534902492,85780,85780
1534903483,85810,85810
1534904410,85827,85827
1534905374,85807,85807
1534906332,85839,85839
1534907300,85868,85868
1534908286,85875,85875
1534909210,85885,85885
1534910168,85917,85917
1534911154,85908,85908
1534912094,85916,85916
1534913056,85937,85937
1534914018,85946,85946
1534915000,85958,85958
1534915935,85961,85961
1534916892,85954,85954
1534917858,86004,86004
1534918813,86016,86016
1534919788,86039,86039
1534920737,86038,86038
1534921704,86048,86048
1534922667,86066,86066
1534923612,86096,86096
1534924584,86083,86083
1534925532,86087,86087
1534926518,86089,86089
1534927456,86118,86118
1534928414,86103,86103
1534929391,86131,86131
1534930344,86153,86153
1534931301,86144,86144
1534932258,86153,86153
1534933215,86149,86149
