DateTime,Entries,UniqueIPs
1534444571,3068,3068
1534445542,3076,3076
1534446511,3085,3085
1534447460,3078,3078
1534448412,3067,3067
1534449391,3065,3065
1534450366,3064,3064
1534451298,3063,3063
1534452255,3063,3063
1534453238,3074,3074
1534454188,3075,3075
1534455153,3081,3081
1534456113,3050,3050
1534457058,3072,3072
1534458021,3077,3077
1534458996,3069,3069
1534459935,3078,3078
1534460897,3061,3061
1534461872,3059,3059
1534463810,3034,3034
1534464733,3037,3037
1534465703,3014,3014
1534466653,3012,3012
1534467647,3017,3017
1534468678,3028,3028
1534469795,3027,3027
1534470753,3017,3017
1534471940,3021,3021
1534472892,3026,3026
1534473855,3026,3026
1534474821,3025,3025
1534475785,3037,3037
1534476888,3049,3049
1534477956,3032,3032
1534478895,3036,3036
1534479871,3031,3031
1534481055,3035,3035
1534482024,3035,3035
1534482982,3032,3032
1534483955,3032,3032
1534484915,3010,3010
1534485861,2995,2995
1534486815,2993,2993
1534487788,2994,2994
1534488758,2980,2980
1534489719,2975,2975
1534490658,2986,2986
1534491615,3016,3016
1534492587,3018,3018
1534493535,3009,3009
1534494498,3020,3020
1534495472,3036,3036
1534496420,3045,3045
1534497376,3044,3044
1534498359,2989,2989
1534499297,2978,2978
1534500266,2985,2985
1534501211,3012,3012
1534502194,3014,3014
1534503133,3014,3014
1534504102,3010,3010
1534505054,3010,3010
1534506020,3012,3012
1534506987,3020,3020
1534507961,3026,3026
1534508898,3027,3027
1534509857,3040,3040
1534510821,3042,3042
1534511790,3042,3042
1534512739,3046,3046
1534513715,3062,3062
1534514659,3048,3048
1534515620,3071,3071
1534516585,3050,3050
1534517540,3071,3071
1534518525,3078,3078
1534519718,3061,3061
1534520652,3049,3049
1534521629,3042,3042
1534522601,3035,3035
1534523547,3047,3047
1534524494,3054,3054
1534525489,3059,3059
1534526409,3053,3053
1534527372,3047,3047
1534528355,3061,3061
1534529302,3057,3057
1534530254,3054,3054
1534531219,3058,3058
1534532299,3044,3044
1534533395,3045,3045
1534534336,3037,3037
1534535295,3036,3036
1534536285,3034,3034
1534537209,3024,3024
1534538178,3015,3015
1534539156,3025,3025
1534540340,3021,3021
1534541319,3015,3015
1534542253,3016,3016
1534543224,2987,2987
1534544200,2969,2969
1534545138,2938,2938
1534546094,2937,2937
1534547062,2932,2932
1534548009,2922,2922
1534549975,2897,2897
1534551156,2865,2865
1534552094,2845,2845
1534553061,2850,2850
1534554283,2808,2808
1534555213,2821,2821
1534556183,2780,2780
1534557150,2786,2786
1534558121,2777,2777
1534559072,2783,2783
1534560017,2773,2773
1534560998,2758,2758
1534561936,2782,2782
1534562892,2749,2749
1534563890,2739,2739
1534564838,2727,2727
1534565806,2733,2733
1534566758,2739,2739
1534567699,2733,2733
1534568665,2707,2707
1534569645,2722,2722
1534570573,2699,2699
1534571534,2700,2700
1534572521,2701,2701
1534573484,2678,2678
1534574412,2690,2690
1534575376,2672,2672
