DateTime,AddedIPs,RemovedIPs
1534444569,6,11
1534445540,13,11
1534446510,8,15
1534447458,6,7
1534448410,5,18
1534449389,8,12
1534450365,13,17
1534451296,11,0
1534452252,0,3
1534453237,2,3
1534454186,3,13
1534455151,6,0
1534456111,13,20
1534457057,20,47
1534458020,32,12
1534458995,18,24
1534459934,11,24
1534460895,18,15
1534461871,12,31
1534463808,44,75
1534464731,30,0
1534465700,22,32
1534466652,20,85
1534467645,41,0
1534468675,31,23
1534469793,39,61
1534470752,19,20
1534471939,18,9
1534472891,6,37
1534473852,48,19
1534474820,27,19
1534475783,7,14
1534476886,22,17
1534477954,25,19
1534478893,17,21
1534479870,18,7
1534481052,14,17
1534482022,10,18
1534482981,21,23
1534483953,11,23
1534484912,15,9
1534485858,15,16
1534486814,4,15
1534487787,13,13
1534488755,18,14
1534489717,24,16
1534490656,13,14
1534491613,25,4
1534492586,16,37
1534493533,16,16
1534494495,12,25
1534495470,22,33
1534496418,15,23
1534497374,19,21
1534498357,17,20
1534499295,14,22
1534500263,13,20
1534501209,21,16
1534502192,11,9
1534503130,9,39
1534504100,15,20
1534505052,11,12
1534506019,19,58
1534506986,10,24
1534507959,12,14
1534508896,12,18
1534509856,17,11
1534510819,9,13
1534511788,12,14
1534512738,11,53
1534513714,10,12
1534514656,10,16
1534515618,13,11
1534516584,8,7
1534517537,7,12
1534518523,9,0
1534519716,8,22
1534520650,4,6
1534521627,9,15
1534522599,10,10
1534523546,13,5
1534524493,15,10
1534525486,6,9
1534526408,6,6
1534527370,9,12
1534528353,11,12
1534529300,13,8
1534530253,11,6
1534531217,12,7
1534532298,9,10
1534533394,10,10
1534534335,6,10
1534535293,11,11
1534536283,6,12
1534537208,7,6
1534538176,1,0
1534539155,2,4
1534540337,7,7
1534541318,6,16
1534542250,6,24
1534543222,3,13
1534544199,6,10
1534545136,13,12
1534546092,10,10
1534547061,8,18
1534548008,7,13
1534549973,25,39
1534551154,18,62
1534552091,11,0
1534553058,16,57
1534554280,29,41
1534555212,15,30
1534556181,11,0
1534557149,16,25
1534558119,18,27
1534559071,12,7
1534560015,35,29
1534560996,7,22
1534561934,14,16
1534562889,10,13
1534563887,7,29
1534564836,14,25
1534565803,9,14
1534566757,4,16
1534567698,10,12
1534568662,20,27
1534569644,9,19
1534570572,17,18
1534571532,9,19
1534572520,9,14
1534573483,10,24
1534574410,20,9
1534575374,7,13
1534576347,12,19
1534577318,13,9
1534578274,19,19
1534579220,18,21
1534580204,14,9
1534581159,15,20
1534582102,15,6
1534583089,12,31
1534584007,16,50
1534584992,5,8
1534585937,12,14
1534586919,13,6
1534587851,17,13
1534588838,14,12
1534589795,11,10
1534590762,18,19
1534591718,7,8
1534592683,11,11
1534593671,11,12
1534594580,5,10
1534595556,10,10
1534596501,11,11
1534597470,10,10
1534598436,15,8
1534599370,10,6
1534600350,8,11
1534601314,7,7
1534602256,9,9
1534603212,8,12
1534604198,4,7
1534605133,10,26
1534606091,3,0
1534607089,7,27
1534608044,11,16
1534609009,4,13
1534609940,6,0
1534610891,3,11
1534611891,3,11
1534612810,8,11
1534613776,8,5
1534614755,9,14
1534615691,5,0
1534616669,5,25
1534617620,4,9
1534618599,10,0
1534619778,3,19
1534620735,10,16
1534621725,6,20
1534622659,3,0
1534623614,9,23
1534624593,7,1
1534625529,8,0
