DateTime,Entries,UniqueIPs
1534443621,1172,1172
1534444569,1172,1172
1534445540,1178,1178
1534446510,1176,1176
1534447458,1172,1172
1534448410,1167,1167
1534449389,1164,1164
1534450365,1165,1165
1534451296,1170,1170
1534453237,1168,1168
1534454186,1164,1164
1534455151,1154,1154
1534456111,1143,1143
1534457057,1150,1150
1534458020,1172,1172
1534458995,1178,1178
1534459934,1179,1179
1534460895,1179,1179
1534461871,1178,1178
1534463808,1183,1183
1534464731,1176,1176
1534465700,1173,1173
1534466652,1164,1164
1534467645,1177,1177
1534468675,1167,1167
1534469793,1176,1176
1534470752,1170,1170
1534471939,1161,1161
1534472891,1160,1160
1534473852,1179,1179
1534474820,1184,1184
1534475783,1175,1175
1534476886,1184,1184
1534477954,1180,1180
1534478893,1172,1172
1534479870,1176,1176
1534481052,1174,1174
1534482022,1172,1172
1534482981,1166,1166
1534483953,1158,1158
1534484912,1155,1155
1534485858,1151,1151
1534486814,1141,1141
1534487787,1130,1130
1534488755,1139,1139
1534489717,1150,1150
1534490656,1144,1144
1534491613,1160,1160
1534492586,1157,1157
1534493533,1152,1152
1534494495,1155,1155
1534495470,1157,1157
1534496418,1166,1166
1534497374,1154,1154
1534498357,1121,1121
1534499295,1127,1127
1534500263,1126,1126
1534501209,1141,1141
1534502192,1139,1139
1534503130,1136,1136
1534504100,1141,1141
1534505052,1133,1133
1534506019,1144,1144
1534506986,1143,1143
1534507959,1143,1143
1534508896,1145,1145
1534509856,1152,1152
1534510819,1150,1150
1534511788,1152,1152
1534512738,1155,1155
1534513714,1159,1159
1534514656,1158,1158
1534515618,1164,1164
1534516584,1163,1163
1534517537,1158,1158
1534518523,1160,1160
1534519716,1142,1142
1534520650,1135,1135
1534521627,1128,1128
1534522599,1122,1122
1534523546,1122,1122
1534524493,1126,1126
1534525486,1129,1129
1534526408,1127,1127
1534527370,1125,1125
1534528353,1131,1131
1534529300,1130,1130
1534530253,1125,1125
1534531217,1128,1128
1534532298,1128,1128
1534533394,1119,1119
1534534335,1109,1109
1534535293,1109,1109
1534536283,1106,1106
1534537208,1091,1091
1534538176,1091,1091
1534539155,1092,1092
1534540337,1091,1091
1534541318,1090,1090
1534542250,1086,1086
1534543222,1069,1069
1534544199,1036,1036
1534545136,1014,1014
1534546092,1015,1015
1534547061,1011,1011
1534548008,1000,1000
1534549973,976,976
1534551154,954,954
1534552091,936,936
1534553058,939,939
1534554280,914,914
1534555212,898,898
1534556181,879,879
1534557149,874,874
1534558119,877,877
1534559071,879,879
1534560015,878,878
1534560996,862,862
1534561934,861,861
1534562889,857,857
1534563887,842,842
1534564836,837,837
1534565803,834,834
1534566757,827,827
1534567698,822,822
1534568662,830,830
1534569644,824,824
1534570572,822,822
1534571532,812,812
1534572520,814,814
1534573483,807,807
1534574410,814,814
1534575374,806,806
1534576347,797,797
1534577318,795,795
1534578274,796,796
1534579220,798,798
1534580204,796,796
1534581159,803,803
1534582102,807,807
1534583089,794,794
1534584007,796,796
1534584992,791,791
1534585937,791,791
1534586919,792,792
1534587851,794,794
1534588838,791,791
1534589795,792,792
1534590762,800,800
1534591718,803,803
1534592683,805,805
1534593671,804,804
1534594580,795,795
1534595556,798,798
1534596501,803,803
1534597470,798,798
1534598436,806,806
1534599370,801,801
1534600350,801,801
1534601314,802,802
1534602256,807,807
1534603212,808,808
1534604198,805,805
1534605133,808,808
1534606091,809,809
1534607089,804,804
1534608044,804,804
1534609009,801,801
1534609940,795,795
1534610891,790,790
1534611891,787,787
1534612810,788,788
1534613776,791,791
1534614755,791,791
1534615691,788,788
1534616669,783,783
1534617620,782,782
1534618599,781,781
1534619778,778,778
1534620735,783,783
1534621725,780,780
1534622659,776,776
1534623614,781,781
1534624593,784,784
1534625529,792,792
1534626498,793,793
1534627473,788,788
1534628409,796,796
1534629368,795,795
1534630341,791,791
1534631299,788,788
1534632251,787,787
1534633217,786,786
1534634176,786,786
1534635157,793,793
1534636094,793,793
1534637060,790,790
1534638009,781,781
1534638994,785,785
1534640453,784,784
1534641374,780,780
1534642355,779,779
1534643292,764,764
1534644269,759,759
1534645207,758,758
1534646190,751,751
1534647131,754,754
1534648096,757,757
1534649074,752,752
1534650040,756,756
1534650972,758,758
1534651961,758,758
1534652888,760,760
1534653857,757,757
1534654815,749,749
1534655807,748,748
1534656735,752,752
1534657699,748,748
1534658656,745,745
1534659630,742,742
1534660580,742,742
1534661535,749,749
1534662496,752,752
1534663475,753,753
1534664409,750,750
1534665374,751,751
1534666335,745,745
1534667314,750,750
1534668251,749,749
1534669235,743,743
1534670175,745,745
1534671154,742,742
1534672092,746,746
1534673063,743,743
1534674008,741,741
1534674990,740,740
1534675930,731,731
1534676901,736,736
1534677850,742,742
1534678815,753,753
1534679787,750,750
1534680747,753,753
1534681692,763,763
1534682672,774,774
1534683621,773,773
1534684581,778,778
1534685536,784,784
1534686498,786,786
1534687474,792,792
1534688412,793,793
1534689370,807,807
1534690350,808,808
1534691292,815,815
1534692254,823,823
1534693212,829,829
1534694451,837,837
1534695374,836,836
1534696348,836,836
1534697300,835,835
1534698265,842,842
1534699208,842,842
1534700191,834,834
1534701131,829,829
1534702095,829,829
1534703090,831,831
1534704257,834,834
1534705217,834,834
1534706203,828,828
1534707144,823,823
1534708094,816,816
1534709066,810,810
1534710016,800,800
1534710980,797,797
1534711939,797,797
1534712903,802,802
1534713855,798,798
1534714812,795,795
1534715795,795,795
1534716741,792,792
1534717695,789,789
1534718668,783,783
1534719625,779,779
1534720574,775,775
1534721553,773,773
1534723513,757,757
1534724648,739,739
1534725615,724,724
1534726583,719,719
1534727542,701,701
1534728487,693,693
1534729472,687,687
1534730436,677,677
1534731420,675,675
1534732334,659,659
1534733295,669,669
1534734275,662,662
1534735237,658,658
1534736170,656,656
1534737146,654,654
1534738107,660,660
1534739065,667,667
1534740008,672,672
1534740983,678,678
1534741931,675,675
1534742891,679,679
1534743869,675,675
1534744828,676,676
1534745774,680,680
1534746764,689,689
1534747694,690,690
1534748659,687,687
1534749625,687,687
1534750581,687,687
1534751530,680,680
1534752510,672,672
1534753458,678,678
1534754425,672,672
1534755367,676,676
1534756348,679,679
1534757288,683,683
1534758271,678,678
1534759253,672,672
1534760184,673,673
1534761135,672,672
1534762111,674,674
1534763055,682,682
1534764025,688,688
1534764989,685,685
1534765957,677,677
1534766892,678,678
1534767858,675,675
1534768812,668,668
1534769798,668,668
1534770740,670,670
1534771693,674,674
1534774139,675,675
1534775050,669,669
1534776031,670,670
1534776985,668,668
1534777963,665,665
1534778890,667,667
1534779858,666,666
1534780819,669,669
1534782057,670,670
1534782974,675,675
1534783947,676,676
1534784890,685,685
1534785865,700,700
1534786814,702,702
1534787782,706,706
1534788737,721,721
1534789696,727,727
1534790649,754,754
1534791649,797,797
1534792827,818,818
1534793774,850,850
1534794726,882,882
1534795700,928,928
1534796658,956,956
1534797609,989,989
1534798579,1009,1009
1534799542,1025,1025
1534800491,1048,1048
1534801462,1070,1070
1534802424,1078,1078
1534803392,1088,1088
1534804332,1126,1126
1534805290,1136,1136
1534806279,1127,1127
1534807209,1148,1148
1534808170,1188,1188
1534809146,1203,1203
1534810096,1228,1228
1534811064,1255,1255
1534812279,1291,1291
1534813215,1321,1321
1534814180,1340,1340
1534815151,1382,1382
1534816097,1403,1403
1534817161,1430,1430
1534818271,1445,1445
1534819210,1496,1496
1534820168,1536,1536
1534821148,1558,1558
1534822095,1565,1565
1534823051,1590,1590
1534824013,1607,1607
1534824987,1616,1616
1534825938,1626,1626
1534826889,1641,1641
1534827873,1660,1660
1534828839,1685,1685
1534829773,1699,1699
1534830734,1698,1698
1534831691,1697,1697
1534832686,1691,1691
1534833613,1691,1691
1534834573,1693,1693
1534835560,1701,1701
1534836497,1704,1704
1534837455,1697,1697
1534838434,1688,1688
1534839375,1675,1675
1534840357,1666,1666
1534841297,1657,1657
1534842261,1652,1652
1534843210,1639,1639
1534844191,1626,1626
1534845154,1612,1612
1534846097,1600,1600
1534847056,1583,1583
1534848017,1567,1567
1534848991,1549,1549
1534849938,1533,1533
1534850897,1527,1527
1534851877,1519,1519
1534853092,1517,1517
1534854011,1503,1503
1534854987,1495,1495
1534855954,1530,1530
1534856899,1589,1589
1534857856,1747,1747
