DateTime,AddedIPs,RemovedIPs
1534444571,189,217
1534445542,206,240
1534446511,506,514
1534447460,248,236
1534448412,196,270
1534449391,210,255
1534450366,223,264
1534451298,259,115
1534452255,8,134
1534453238,63,237
1534454188,130,299
1534455153,242,0
1534456113,317,320
1534457058,353,207
1534458021,282,192
1534458996,188,194
1534459935,234,183
1534460897,223,255
1534461872,237,226
1534463810,206,463
1534464733,241,0
1534465703,224,227
1534466653,206,246
1534467647,223,0
1534468678,251,266
1534469795,226,374
1534470753,221,223
1534471940,194,213
1534472892,219,212
1534473855,227,189
1534474821,235,236
1534475785,198,166
1534476888,242,199
1534477956,210,215
1534478895,227,205
1534479871,231,214
1534481055,211,206
1534482024,196,165
1534482982,247,163
1534483955,225,200
1534484915,200,151
1534485861,209,164
1534486815,210,219
1534487788,238,200
1534488758,197,180
1534489719,216,182
1534490658,227,184
1534491615,212,209
1534492587,186,223
1534493535,230,183
1534494498,216,220
1534495472,201,191
1534496420,239,221
1534497376,211,203
1534498359,224,216
1534499297,199,244
1534500266,209,225
1534501211,187,183
1534502194,249,207
1534503133,216,235
1534504102,232,187
1534505054,200,213
1534506020,197,194
1534506987,234,370
1534507961,242,192
1534508898,244,217
1534509857,218,207
1534510821,210,240
1534511790,224,253
1534512739,186,236
1534513715,232,196
1534514659,248,205
1534515620,224,197
1534516585,229,228
1534517540,238,178
1534518525,225,0
1534519718,221,464
1534520652,203,196
1534521629,253,200
1534522601,218,215
1534523547,192,224
1534524494,209,193
1534525489,223,218
1534526409,200,202
1534527372,213,197
1534528355,202,199
1534529302,182,188
1534530254,201,248
1534531219,189,180
1534532299,181,211
1534533395,208,485
1534534336,215,241
1534535295,223,187
1534536285,219,235
1534537209,203,224
1534538178,177,16
1534539156,91,74
1534540340,254,114
1534541319,194,181
1534542253,170,275
1534543224,166,299
1534544200,160,349
1534545138,182,282
1534546094,178,175
1534547062,176,221
1534548009,161,210
1534549975,224,200
1534551156,242,354
1534552094,193,0
1534553061,207,380
1534554283,213,213
1534555213,191,231
1534556183,187,0
1534557150,189,215
1534558121,211,232
1534559072,208,221
1534560017,212,232
1534560998,216,218
1534561936,235,218
1534562892,188,205
1534563890,197,230
1534564838,238,198
1534565806,181,200
1534566758,172,195
1534567699,186,209
1534568665,227,185
1534569645,201,224
1534570573,248,251
1534571534,200,182
1534572521,288,225
