DateTime,AddedIPs,RemovedIPs
1534444571,1115,1115
1534445542,1137,1137
1534446511,1225,1225
1534447460,1243,1243
1534448412,1133,1133
1534449391,1179,1179
1534450366,1217,1217
1534451298,1223,1223
1534452255,62,62
1534453238,350,350
1534454188,757,757
1534455153,1357,1357
1534456113,1523,1523
1534457058,1547,1547
1534458021,1553,1553
1534458996,1319,1319
1534459935,1180,1180
1534460897,1201,1201
1534461872,1175,1175
1534463810,1163,1163
1534464733,1156,1156
1534465703,1153,1153
1534466653,1169,1169
1534467647,1207,1207
1534468678,1182,1182
1534469795,1235,1235
1534470753,1210,1210
1534471940,1184,1184
1534472892,1239,1239
1534473855,1257,1257
1534474821,1205,1205
1534475785,1226,1226
1534476888,1225,1225
1534477956,1221,1221
1534478895,1245,1245
1534479871,1236,1236
1534481055,1185,1185
1534482024,1191,1191
1534482982,1211,1211
1534483955,1229,1229
1534484915,1192,1192
1534485861,1198,1198
1534486815,1194,1194
1534487788,1221,1221
1534488758,1213,1213
1534489719,1174,1174
1534490658,1207,1207
1534491615,1236,1236
1534492587,1199,1199
1534493535,1186,1186
1534494498,1193,1193
1534495472,1260,1260
1534496420,1237,1237
1534497376,1247,1247
1534498359,1246,1246
1534499297,1228,1228
1534500266,1188,1188
1534501211,1187,1187
1534502194,1234,1234
1534503133,1258,1258
1534504102,1255,1255
1534505054,1220,1220
1534506020,1224,1224
1534506987,1198,1198
1534507961,1223,1223
1534508898,1234,1234
1534509857,1215,1215
1534510821,1196,1196
1534511790,1177,1177
1534512739,1219,1219
1534513715,1221,1221
1534514659,1199,1199
1534515620,1196,1196
1534516585,1198,1198
1534517540,1193,1193
1534518525,1225,1225
1534519718,1198,1198
1534520652,1216,1216
1534521629,1189,1189
1534522601,1159,1159
1534523547,1182,1182
1534524494,1199,1199
1534525489,1165,1165
1534526409,1163,1163
1534527372,1135,1135
1534528355,1165,1165
1534529302,1159,1159
1534530254,1173,1173
1534531219,1190,1190
1534532299,1124,1124
1534533395,1170,1170
1534534336,1197,1197
1534535295,1168,1168
1534536285,1161,1161
1534537209,1185,1185
1534538178,1019,1019
1534539156,684,684
1534540340,1304,1304
1534541319,1306,1306
1534542253,1156,1156
1534543224,1091,1091
1534544200,1163,1163
1534545138,1154,1154
1534546094,1145,1145
1534547062,1128,1128
1534548009,1114,1114
1534549975,1160,1160
1534551156,1163,1163
1534552094,1154,1154
1534553061,1175,1175
1534554283,1228,1228
1534555213,1206,1206
1534556183,1196,1196
1534557150,1132,1132
1534558121,1157,1157
1534559072,1199,1199
1534560017,1252,1252
1534560998,1194,1194
1534561936,1230,1230
1534562892,1227,1227
1534563890,1229,1229
1534564838,1225,1225
1534565806,1267,1267
1534566758,1237,1237
1534567699,1247,1247
1534568665,1232,1232
1534569645,1228,1228
1534570573,1240,1240
1534571534,1243,1243
1534572521,1243,1243
1534573484,1196,1196
1534574412,1191,1191
1534575376,1200,1200
1534576348,1220,1220
1534577321,1199,1199
1534578276,1200,1200
1534579223,1183,1183
1534580205,1189,1189
1534581160,1199,1199
1534582104,1207,1207
1534583092,1232,1232
1534584009,1180,1180
