DateTime,AddedIPs,RemovedIPs
1534456113,65,13
1534457058,62,0
1534458021,86,31
1534458996,66,0
1534459935,52,27
1534460897,55,23
1534461872,44,0
1534463810,111,144
1534464733,58,0
1534465703,58,22
1534466653,41,29
1534467647,77,53
1534468678,78,30
1534469795,62,20
1534470753,52,19
1534471940,39,22
1534472892,43,28
1534473855,79,22
1534474821,66,14
1534475785,26,38
1534476888,57,9
1534477956,50,11
1534478895,53,21
1534479871,77,38
1534481055,46,22
1534482024,54,36
1534482982,50,2
1534483955,55,46
1534484915,36,16
1534485861,53,0
1534486815,41,33
1534487788,52,0
1534488758,46,21
1534489719,58,32
1534490658,47,6
1534491615,56,0
1534492587,39,33
1534493535,48,0
1534494498,73,16
1534495472,58,18
1534496420,59,22
1534497376,50,27
1534498359,39,43
1534499297,35,21
1534500266,45,15
1534501211,50,0
1534502194,42,16
1534503133,32,16
1534504102,45,18
1534505054,38,12
1534506020,53,18
1534506987,43,12
1534507961,1150,7437
1534508898,36,0
1534509857,54,16
1534510821,42,20
1534511790,33,42
1534512739,34,0
1534513715,44,17
1534514659,45,21
1534515620,43,49
1534516585,41,22
1534517540,46,0
1534518525,44,54
1534519718,33,20
1534520652,41,18
1534521629,58,27
1534522601,35,15
1534523547,45,17
1534524494,47,28
1534525489,44,15
1534526409,39,20
1534527372,39,10
1534528355,46,14
1534529302,44,15
1534530254,37,22
1534531219,34,9
1534532299,37,18
1534533395,44,16
1534534336,42,0
1534535295,53,21
1534536285,43,12
1534537209,37,21
1534538178,34,9
1534539156,16,20
1534540340,56,15
1534541319,35,18
1534542253,29,0
1534543224,36,21
1534544200,33,11
1534544655,20,28
1534545138,35,18
1534546094,38,12
1534547062,31,16
1534548009,38,14
1534548490,26,0
1534549975,69,21
1534551156,50,15
1534552094,43,17
1534552326,5,22
1534553061,40,17
1534554283,63,34
1534555213,39,2
1534556183,41,9
1534557150,52,28
1534558121,49,2
1534559072,35,31
1534560017,63,0
1534560998,33,24
1534561936,47,1
1534562892,47,18
1534563890,37,16
1534564838,49,0
1534565806,53,661
1534566758,26,21
1534567699,31,18
1534568665,54,10
1534569645,39,11
1534570573,49,6
1534571534,49,11
1534572521,45,16
1534573484,39,8
1534574412,44,4
1534575376,39,0
1534576348,38,15
1534577321,49,13
1534578276,45,13
1534579223,56,10
1534580205,35,12
1534581160,49,16
1534582104,59,21
1534583092,58,47
1534584009,53,16
1534584994,42,28
1534585939,38,1
1534586921,43,32
1534587853,48,25
1534588840,49,0
1534589797,56,13
1534590763,53,5
1534591721,45,20
1534592686,53,30
1534593672,50,45
1534594583,1073,3229
1534595558,57,38
1534596504,48,0
1534597471,42,24
1534598437,47,21
1534599371,48,0
1534600353,31,23
1534601315,37,15
1534602258,34,10
1534603214,38,14
1534604201,24,36
