DateTime,Entries,UniqueIPs
1534455151,19678,33488
1534455903,19646,33455
1534457056,19643,33454
1534457703,19697,33509
1534458487,19730,33543
1534458985,19732,33545
1534460891,20028,33851
1534463798,19934,33754
1534464052,19931,34262
1534464853,19953,34284
1534465698,19945,34276
1534465845,19975,34562
1534467643,19899,34484
1534468811,19929,34513
1534469540,19934,34519
1534470966,19897,34488
1534471470,19897,34488
1534472107,19922,34514
1534473392,19920,34513
1534473613,19945,34540
1534475315,19946,34540
1534475704,19938,34528
1534477474,20013,34606
1534478435,19980,34572
1534479378,19981,34573
1534480225,19931,34522
1534481556,19892,34477
1534482261,19852,34427
1534483454,19850,34425
1534483840,19973,34551
1534485374,19983,34560
1534485645,19935,34508
1534487297,19914,34489
1534488127,19830,34394
1534489230,19879,34445
1534490104,19877,34446
1534491150,19882,34451
1534491726,19806,34375
1534493071,19805,34374
1534494972,19782,34352
1534495327,19741,34310
1534496904,19742,34310
1534497366,19652,34221
1534498819,19758,34330
1534498926,19664,34236
1534500753,18987,33547
1534500905,18913,33470
1534502659,18881,33436
1534503366,18937,33494
1534504595,19224,33788
1534506495,19180,33746
1534507241,19147,33712
1534508420,19202,33773
1534508887,19253,33825
1534510348,19256,33830
1534510566,19241,33809
1534512268,19253,33824
1534512657,19230,33800
1534514178,19178,33746
1534515246,19237,33805
1534516105,19235,33804
1534517166,19215,33779
1534518038,19229,33794
1534520181,19300,33868
1534520526,19142,33705
1534521366,19200,33765
1534522154,19195,33761
1534522503,19174,33737
1534524034,19187,33750
1534524128,19185,33748
1534525940,19189,33750
1534526046,19386,33946
1534526104,19385,33690
1534526886,19528,33836
1534527855,19535,33843
1534528507,19535,33842
1534529808,19603,33906
1534530635,19579,34647
1534531715,19682,34751
1534533858,20049,35124
1534534606,20216,35295
1534535772,20222,35300
1534536922,20414,35494
1534537708,20417,35498
1534538733,20594,35929
1534539644,20599,35934
1534540211,20843,36183
1534541787,20902,36242
1534543699,21085,36426
