DateTime,AddedIPs,RemovedIPs
1534560123,19,1
1534560724,14,0
1534561324,48,0
1534562523,37,0
1534563724,21,0
1534564323,26,0
1534564923,49,0
1534565524,48,0
1534566124,44,0
1534566723,38,0
1534567323,38,0
1534568523,34,0
1534569123,47,0
1534569725,1,0
1534570323,4,0
1534570923,22,0
1534572124,22,0
1534572723,16,0
1534573323,8,0
1534574523,14,0
1534575123,5,0
1534575723,11,0
1534576323,36,0
1534576923,36,0
1534577523,29,0
1534578123,6,0
1534579323,20,0
1534579923,21,0
1534580523,53,0
1534581123,27,0
1534581723,15,0
1534582923,15,0
1534583523,42,0
1534584124,39,1
1534584723,4,0
1534585324,24,1
1534585923,2,0
1534586523,74,0
1534587123,74,0
1534587723,64,0
1534588322,1,0
1534588924,46,0
1534589523,8,0
1534590123,30,0
1534591324,48,0
1534591923,8,0
1534592523,26,1
1534593123,26,0
1534593724,8,0
1534594324,2,0
1534594924,22,0
1534596123,11,1
1534596723,15,0
1534597323,55,0
1534597924,49,0
1534598524,49,0
1534599724,6,0
1534600323,36,0
1534600923,15,0
1534601524,37,0
1534602124,43,0
1534603323,22,0
1534604523,27,0
1534605123,23,0
1534605723,34,0
1534606924,27,0
1534607523,26,0
1534608125,27,1
1534608724,23,0
1534609323,29,0
1534609924,19,0
1534610524,16,0
1534611124,38,1
1534611723,21,0
1534612324,24,0
1534612923,15,0
1534614123,43,0
1534614724,44,0
1534615324,16,0
1534615924,20,0
1534616523,71,2
1534617724,19,1
1534618323,36,0
1534618924,15,0
1534619524,29,0
1534620124,61,0
1534621324,22,0
1534621925,31,1
1534622523,34,0
1534623124,60,0
1534623723,17,0
1534624924,45,1
1534625523,5,0
1534626124,36,0
1534626722,3,0
1534627324,44,0
1534627923,38,0
1534628523,26,0
1534629122,1,0
1534629723,53,0
1534630323,42,0
1534630924,34,0
1534631524,20,0
1534632123,26,0
1534632723,46,0
1534633324,60,0
1534633924,39,0
1534634523,12,0
1534635124,45,0
1534635723,18,1
1534636325,51,0
1534636924,43,0
1534637523,24,0
1534638123,32,1
1534639923,13,0
1534640524,53,0
1534641724,26,0
1534642322,2,0
1534642923,9,0
1534644123,41,0
1534645323,29,0
1534645924,38,0
1534646523,39,0
1534647123,1,0
1534647724,26,1
1534648923,25,0
1534650123,35,0
1534650722,1,0
1534651323,55,0
1534651923,1,0
1534652524,70,0
1534653124,36,0
1534653723,39,0
1534654323,26,0
1534654924,16,0
1534655523,32,0
1534656123,38,0
1534656722,4,0
1534657323,33,0
1534657924,36,0
1534658523,46,0
1534659723,36,1
1534660325,45,0
1534660923,17,0
1534661523,5,0
1534662123,10,0
1534663323,13,1
1534664523,13,0
1534665123,41,0
1534665724,11,0
1534666924,31,0
1534667523,35,0
1534668123,38,0
1534669324,27,1
1534669924,15,0
1534670524,36,0
1534671723,16,0
1534672923,32,0
1534673524,33,0
1534674124,73,0
1534675323,29,0
1534676523,43,0
1534677125,33,0
1534677723,68,0
1534678324,26,0
1534678924,14,0
1534679523,8,0
1534680123,46,1
1534680724,15,0
1534681324,34,0
1534682524,3,0
1534683723,25,0
1534684324,30,0
1534684923,24,0
1534685524,25,0
1534686123,15,0
1534687323,30,0
1534687923,44,0
1534688523,28,0
1534689124,43,0
1534689723,34,0
1534690924,5,0
1534692124,34,0
1534693325,8,0
1534693923,4,0
1534694524,25,0
1534695123,1,0
1534695725,18,0
1534696923,31,0
1534697523,12,2
1534698123,46,0
1534698724,3,0
1534699324,28,0
1534699924,21,0
1534700523,33,0
1534701124,21,0
1534701724,30,0
1534702923,13,1
1534703523,34,0
1534704123,34,0
1534704723,32,0
