DateTime,Entries,UniqueIPs
1534478408,15668,15668
1534479307,15886,15886
1534480209,16240,16240
1534481109,16372,16372
1534482008,16553,16553
1534482909,16680,16680
1534483808,16896,16896
1534484708,17148,17148
1534485607,17459,17459
1534486509,18138,18138
1534487408,18775,18775
1534488307,19311,19311
1534489208,19983,19983
1534490109,20427,20427
1534491007,20926,20926
1534491908,20865,20865
1534492809,19683,19683
1534493707,19637,19637
1534494608,19775,19775
1534495509,19950,19950
1534496409,20157,20157
1534497309,20414,20414
1534498208,20602,20602
1534499107,20426,20426
1534500008,20328,20328
1534500907,20237,20237
1534501808,20277,20277
1534502706,20365,20365
1534503607,20058,20058
1534504507,17733,17733
1534505407,16772,16772
1534506307,16690,16690
1534507207,16890,16890
1534508107,17045,17045
1534509007,17029,17029
1534509907,17193,17193
1534510807,17526,17526
1534511706,18077,18077
1534512606,18484,18484
1534513507,19053,19053
1534514407,18786,18786
1534515307,18546,18546
1534516207,17817,17817
1534517107,17499,17499
1534518007,17096,17096
1534518907,17099,17099
1534519807,16797,16797
1534520707,16491,16491
1534521607,15829,15829
1534522507,15203,15203
1534523406,15557,15557
1534524308,15777,15777
1534525207,15794,15794
1534526108,12590,12590
1534527007,11907,11907
1534527907,11888,11888
1534528807,11785,11785
1534529707,11899,11899
1534530606,12179,12179
1534531508,12598,12598
1534532407,12326,12326
1534533308,12428,12428
1534534207,12310,12310
1534535108,11602,11602
1534536007,11672,11672
1534536907,11840,11840
1534537806,12017,12017
1534538707,12382,12382
1534539608,12913,12913
1534540507,12605,12605
1534541407,12846,12846
1534542308,13233,13233
1534543208,13887,13887
1534544108,14657,14657
1534545007,15136,15136
1534545908,15715,15715
1534546807,15859,15859
1534547708,16213,16213
1534549507,16037,16037
1534550408,16319,16319
1534551306,16715,16715
1534552207,17167,17167
1534553106,17787,17787
1534554007,18306,18306
1534554908,18876,18876
1534555807,19479,19479
1534556708,19805,19805
1534557607,20372,20372
1534558508,20806,20806
1534559407,21188,21188
1534560307,21207,21207
1534561208,21323,21323
1534562108,21392,21392
1534563008,21908,21908
1534563909,22529,22529
1534564807,22803,22803
1534565708,22826,22826
1534566607,22664,22664
1534567507,22513,22513
1534568407,22084,22084
1534569308,22008,22008
1534570207,22122,22122
1534571108,22231,22231
1534572006,22011,22011
1534572906,22062,22062
1534573806,22143,22143
1534574707,21460,21460
1534575608,19124,19124
1534576506,18471,18471
1534577406,17300,17300
1534578308,16758,16758
1534579207,15804,15804
1534580107,14809,14809
1534581007,13516,13516
1534581907,12803,12803
1534582807,12419,12419
1534583706,11403,11403
1534584606,10546,10546
1534585508,9538,9538
1534586407,9125,9125
1534587307,8811,8811
1534588208,8418,8418
1534589108,8688,8688
1534590008,8642,8642
1534590906,9459,9459
1534591808,9680,9680
1534592708,9963,9963
1534593609,10203,10203
1534594508,10224,10224
1534595408,10617,10617
1534596309,10999,10999
1534597208,11670,11670
1534598108,11656,11656
1534599010,12145,12145
1534599908,12383,12383
1534600809,12573,12573
1534601710,12426,12426
1534602609,11890,11890
1534603512,11918,11918
1534604410,11966,11966
1534605309,12238,12238
1534606209,12392,12392
1534607110,12600,12600
1534608010,12966,12966
1534608910,13290,13290
1534609808,13380,13380
1534610709,13604,13604
1534611609,13979,13979
1534612510,14005,14005
1534613408,14124,14124
1534614309,14274,14274
1534615211,14479,14479
1534616109,14426,14426
1534617010,14449,14449
1534617911,14860,14860
1534618810,15274,15274
1534619709,15779,15779
1534620611,16048,16048
1534621510,16399,16399
1534622409,16833,16833
1534623309,16966,16966
1534624210,17365,17365
1534625109,17675,17675
1534626010,17328,17328
1534626909,17521,17521
1534627809,17714,17714
1534628709,17996,17996
1534629609,18139,18139
1534630508,18200,18200
1534631409,17763,17763
1534632307,17417,17417
1534633209,17461,17461
1534634109,17079,17079
1534635008,16809,16809
1534635907,16467,16467
1534636808,16512,16512
1534637708,16719,16719
1534638608,17241,17241
1534640407,17967,17967
1534641308,18466,18466
1534642207,18573,18573
1534643108,18419,18419
1534644007,18320,18320
1534644907,18261,18261
1534645808,18233,18233
1534646706,17856,17856
1534647607,18044,18044
1534648506,17991,17991
1534649405,18143,18143
1534650305,18426,18426
1534651205,18714,18714
1534652105,19056,19056
1534653006,19511,19511
1534653905,19972,19972
1534654804,20247,20247
1534655705,19115,19115
1534656605,18998,18998
1534657504,19142,19142
1534658404,19592,19592
1534659305,19840,19840
1534660205,20088,20088
1534661105,20239,20239
1534662005,20490,20490
1534662905,20702,20702
1534663805,20462,20462
1534664705,20182,20182
1534665606,18915,18915
1534666505,18814,18814
1534667406,18889,18889
1534668304,19068,19068
1534669206,19257,19257
1534670105,19355,19355
1534671005,19620,19620
1534671904,19608,19608
1534672804,19775,19775
1534673704,19928,19928
1534674605,20177,20177
1534675504,20321,20321
1534676405,20455,20455
1534677305,20469,20469
1534678204,20376,20376
1534679105,20553,20553
1534680005,19975,19975
1534680904,19479,19479
1534681804,19186,19186
