DateTime,AddedIPs,RemovedIPs
1534533723,13,0
1534534924,55,102
1534536123,57,108
1534536723,63,50
1534537324,50,46
1534537923,46,58
1534538523,17,120
1534539123,80,0
1534539723,77,0
1534540923,69,168
1534541523,30,62
1534542123,28,49
1534543324,44,46
1534544524,77,115
1534545124,54,0
1534545724,14,77
1534546323,80,0
1534546923,7,28
1534548123,31,0
1534549323,3,74
1534550523,64,58
1534551123,62,0
1534551723,77,0
1534552923,33,125
1534554123,60,11
1534555323,65,71
1534555924,55,0
1534556523,66,143
1534557724,29,118
1534558323,40,0
1534558923,48,0
1534560123,30,96
1534560724,20,28
1534561324,66,44
1534562523,52,112
1534563724,21,0
1534564323,41,142
1534564923,64,24
1534565524,64,26
1534566124,69,42
1534566723,64,0
1534567323,62,0
1534568523,65,70
1534569123,53,75
1534569725,3,68
1534570323,7,65
1534570923,48,0
1534572124,44,49
1534572723,21,0
1534573323,34,35
1534574523,35,0
1534575123,13,24
1534575723,16,71
1534576323,62,0
1534576923,68,75
1534577523,57,0
1534578123,73,0
1534579323,43,116
1534579923,34,64
1534580523,69,73
1534581123,39,0
1534581723,79,79
1534582923,54,0
1534583523,66,52
1534584124,65,0
1534584723,13,56
1534585324,38,79
1534586523,77,0
1534587123,78,50
1534587723,74,0
1534588924,68,80
1534589523,39,7
1534590123,58,0
1534591324,73,151
1534591923,27,0
1534592523,64,47
1534593123,71,0
1534593724,12,61
1534594924,69,146
1534596123,49,48
1534596723,44,112
1534597323,62,0
1534597924,75,107
1534598524,73,64
1534599724,63,160
1534600323,79,0
1534600923,65,64
1534601524,76,0
1534602124,79,71
1534603323,30,77
1534604523,47,124
1534605123,55,0
1534605723,69,41
1534606924,68,123
1534607523,74,0
1534608125,48,51
1534608724,36,0
1534609323,76,56
1534609924,50,48
1534610524,58,0
1534611124,46,117
1534611723,28,79
1534612324,64,0
1534612923,61,0
1534614123,78,131
1534614724,80,0
1534615324,72,0
1534615924,45,68
1534616523,77,0
1534617724,48,107
1534618323,78,65
1534618924,57,0
1534619524,34,57
1534620124,67,63
1534621324,59,0
1534621925,79,60
1534622523,80,57
1534623124,68,0
1534623723,56,0
1534624924,60,138
1534626124,55,0
1534627324,66,123
1534627923,57,160
1534628523,80,0
1534629723,74,118
1534630323,61,0
1534630924,51,56
1534631524,80,0
1534632123,45,25
1534632723,75,0
1534633324,73,57
1534633924,70,0
1534634523,26,65
1534635124,60,0
1534635723,51,0
1534636325,77,51
1534636924,67,0
1534637523,80,52
1534638123,42,74
1534639923,20,190
1534640524,76,63
1534641724,63,55
1534642923,33,77
1534644123,56,77
1534645323,46,20
1534645924,63,73
1534646523,61,38
1534647724,59,52
1534648923,49,94
1534650123,58,65
1534651323,67,75
1534652524,72,82
1534653124,64,61
1534653723,72,56
1534654323,38,0
1534654924,39,0
1534655523,54,39
1534656123,56,68
1534657323,46,136
1534657924,59,42
1534658523,47,66
1534659723,72,145
1534660325,69,52
1534660923,25,0
1534661523,9,35
1534662123,70,0
1534663323,26,43
1534664523,51,40
1534665123,80,78
1534665724,23,92
1534666924,51,70
1534667523,61,27
1534668123,59,23
1534669324,45,36
1534669924,77,0
1534670524,78,85
1534671723,56,10
1534672923,56,0
1534673524,80,25
1534674124,79,74
1534675323,44,80
1534676523,79,155
1534677125,59,62
1534677723,77,0
1534678324,63,74
1534678924,61,51
1534679523,28,0
1534680123,54,113
1534680724,49,61
1534681324,45,0
1534682524,16,110
1534683723,78,56
1534684324,64,51
1534684923,40,106
1534685524,57,0
1534686123,48,0
1534687323,77,104
1534687923,74,49
1534688523,79,65
1534689124,79,0
1534689723,54,56
1534690924,13,30
1534692124,59,235
1534693325,20,0
1534693923,23,58
1534694524,74,95
1534695725,32,25
1534696923,75,0
1534697523,17,104
1534698123,80,0
1534699324,64,155
1534699924,61,35
1534700523,80,52
1534701124,50,0
1534701724,74,56
1534702923,16,112
1534703523,53,0
1534704123,58,0
1534704723,56,80
1534705323,42,0
1534705924,57,56
1534706523,72,57
1534707723,61,57
1534708923,64,41
1534709524,67,23
1534710123,31,0
1534711323,79,27
1534712523,76,14
1534713724,79,142
1534714324,79,0
1534714924,46,32
1534716123,74,58
1534717324,23,19
1534717923,24,42
1534718524,36,70
1534719723,74,77
1534720324,71,0
1534720923,75,49
1534723323,63,126
1534723923,74,0
1534724523,71,8
1534725123,62,73
1534725723,56,40
1534726324,62,68
1534726924,33,0
1534727523,68,63
1534728123,77,47
1534729323,57,0
1534729924,35,107
1534730523,28,0
1534731124,32,114
1534731724,54,51
1534732923,48,0
1534733524,67,79
1534734124,70,138
1534734723,65,0
1534735323,57,56
1534736523,49,11
1534737723,62,14
1534738923,72,134
1534740123,56,0
1534741323,79,144
1534741923,20,0
1534742524,60,41
1534743124,30,0
1534743723,14,0
1534744324,28,72
1534744923,64,51
1534746123,75,58
1534747323,64,28
1534748524,73,97
1534749123,77,42
1534749723,55,79
1534750923,63,79
1534752123,15,200
1534753323,52,47
1534753923,64,47
1534754523,20,0
1534755124,37,54
1534755723,39,22
1534756323,44,52
1534756924,26,49
1534758123,41,109
1534759323,8,114
1534759923,54,0
1534760523,44,0
1534761723,79,110
1534762323,48,0
1534762924,75,0
1534764124,30,120
1534765324,41,68
1534766523,57,0
1534767723,43,72
1534768323,50,0
1534768923,79,0
1534770124,23,82
1534771324,20,73
1534773724,45,116
1534774323,30,0
1534774923,19,55
1534776123,46,61
1534777324,69,104
1534778524,66,58
1534779124,69,80
1534779723,51,35
1534780925,52,0
1534781523,71,94
1534782123,34,68
1534783323,37,151
1534783924,55,0
1534784524,37,0
1534785124,63,60
1534785724,39,64
1534786923,39,8
1534788123,38,43
1534788724,41,74
1534789324,78,52
1534789923,62,0
1534790523,76,0
1534791723,74,121
1534792323,46,41
1534792925,77,27
1534793524,73,0
1534794123,66,0
1534795324,78,160
1534796523,80,66
1534797723,66,100
1534798924,55,44
1534799523,66,78
1534800123,80,55
1534801324,80,61
1534802523,78,63
1534803723,75,57
1534804324,52,0
1534804923,80,0
1534806124,21,154
1534807323,52,80
1534808523,69,0
1534809724,65,72
1534810323,56,27
1534810924,34,48
1534812124,79,0
1534812723,77,79
1534813323,79,71
1534814524,46,72
1534815724,28,63
1534816323,42,2
1534816923,7,0
1534817523,66,97
1534818123,79,0
1534819324,76,62
1534820523,59,128
1534821723,24,101
1534822924,38,72
1534823523,68,9
1534824123,46,7
1534824725,72,99
1534825324,58,54
1534826523,69,0
1534827123,59,69
1534827724,55,41
1534828324,61,62
1534828923,62,79
1534829523,51,0
1534830123,60,59
1534830724,64,0
1534831323,60,48
1534832523,56,124
1534833123,53,0
1534833723,25,71
1534834923,47,116
1534835523,8,55
1534836124,63,0
1534836723,60,119
1534837324,60,60
1534838523,55,55
1534839723,41,144
1534840323,67,0
1534840923,33,0
1534841523,50,73
1534842123,34,0
1534843323,48,209
1534843923,73,0
1534844523,78,50
1534845124,60,0
1534845723,33,0
1534846323,62,41
1534846923,48,53
1534848124,57,0
1534849323,63,124
