DateTime,AddedIPs,RemovedIPs
1534511523,7,0
1534512123,4,1
1534513322,8,3
1534513923,4,2
1534514522,11,0
1534515723,2,7
1534516322,4,2
1534516922,3,3
1534518122,8,0
1534518723,2,0
1534519323,1,0
1534519922,2,1
1534520523,3,0
1534521124,10,1
1534521723,1,0
1534522323,5,0
1534522922,9,0
1534523522,5,4
1534524123,5,0
1534524722,5,2
1534525323,2,1
1534526522,2,0
1534527722,7,5
1534528923,3,3
1534529522,7,0
1534530123,2,0
1534530722,5,2
1534531323,5,2
1534531922,3,0
1534532522,1,6
1534533122,8,0
1534533722,2,0
1534534923,7,2
1534536122,2,0
1534536723,5,0
1534537323,2,0
1534538522,5,7
1534539122,1,0
1534539722,5,0
1534540922,4,10
1534541522,1,0
1534542122,1,5
1534543323,4,0
1534543922,2,0
1534544523,4,2
1534545123,5,0
1534545723,2,6
1534546322,3,0
1534546922,1,5
1534548122,4,0
1534549322,4,3
1534550523,4,4
1534551123,1,2
1534551723,4,0
1534552922,5,5
1534554122,3,2
1534555323,4,2
1534556522,3,6
1534557723,4,10
1534558322,5,0
1534558922,1,0
1534560123,5,3
1534561323,14,3
1534562522,2,2
1534563723,4,0
1534564922,12,6
1534565523,2,9
1534566123,3,12
1534566722,3,0
1534567322,3,0
1534568522,2,8
1534569724,2,8
1534570322,1,0
1534570922,2,0
1534572123,8,6
1534572722,1,1
1534573322,3,7
1534574522,9,4
1534575722,1,3
1534576922,8,13
1534577522,1,0
1534578122,1,0
1534579322,3,9
1534580522,0,1
1534581722,1,1
1534582922,9,1
1534584123,2,0
1534584722,1,1
1534585323,3,2
1534585923,3,0
1534587122,0,2
1534588322,1,2
1534588923,1,1
1534589522,0,1
1534590122,0,2
1534591323,5,5
1534591922,4,0
1534592522,2,2
1534593122,1,0
1534593723,1,1
1534594324,3,0
1534594923,0,7
1534596122,4,2
1534596722,1,2
1534597923,2,0
1534598523,2,1
1534599723,2,3
1534600922,4,2
1534601523,1,0
1534603323,6,3
1534604522,5,1
1534605122,1,0
1534605722,1,0
1534606923,4,3
1534608125,6,1
1534608723,4,0
1534609322,9,0
1534609923,0,2
1534610523,2,0
1534611722,4,5
1534612323,1,0
1534612922,1,0
1534614122,6,2
1534614723,7,0
1534615323,2,0
1534615923,1,5
1534616523,2,0
1534617723,3,2
1534618923,3,2
1534619523,4,2
1534620123,4,3
1534621323,7,0
1534621924,3,3
1534622522,1,2
1534623123,6,1
1534623722,5,0
1534624923,8,8
1534625523,6,0
1534626123,5,0
1534626722,3,3
1534627323,2,0
1534627922,1,4
1534628523,4,0
1534629122,1,0
1534629723,7,1
1534630323,5,0
1534630923,2,4
1534631523,4,0
1534632122,6,1
1534632722,8,4
1534633323,7,6
1534633923,1,0
1534634522,5,0
1534635123,6,0
1534635722,3,0
1534636923,13,4
1534638122,7,1
1534639923,5,4
1534640523,4,0
1534641723,6,0
1534642322,3,1
1534642922,0,1
1534644122,5,1
1534645322,1,2
1534645923,1,3
1534646523,2,2
1534647123,4,3
1534647723,1,0
1534648923,5,7
1534650122,12,1
1534650722,2,0
1534651322,0,1
1534651923,1,1
1534652523,4,0
1534653123,4,0
1534653722,1,5
1534654923,4,0
1534655522,3,0
1534656122,5,2
1534656722,6,0
1534657322,1,1
1534657923,3,1
1534658522,4,1
1534659722,5,12
1534660323,3,4
1534660922,3,0
1534661523,0,6
1534662123,5,2
1534663322,4,7
1534664522,5,11
1534665122,1,2
1534665723,3,6
1534666923,1,3
1534667523,0,5
1534668122,0,6
1534669323,1,6
1534670523,1,12
1534671722,2,10
1534672922,8,0
1534674123,23,10
1534675322,14,8
1534676522,10,4
1534677124,0,1
1534677722,1,0
1534678323,0,5
1534678923,2,5
1534679522,3,0
1534680123,3,12
1534681323,2,0
1534682523,2,6
1534683722,0,4
